Date,secucode,open,high,low,close,volume,amount,change,change_ratio
2023-07-03,601618,3.97,4.08,3.97,4.04,658330,265773344,0.07,1.7632241813602016
2023-07-04,601618,4.03,4.07,4.0,4.02,527512,212483744,-0.02,-0.495049504950495
2023-07-05,601618,4.01,4.14,4.01,4.05,731542,298272736,0.03,0.7462686567164178
2023-07-06,601618,4.05,4.07,4.0,4.02,461768,186197680,-0.03,-0.7407407407407408
2023-07-07,601618,4.01,4.09,3.99,4.05,430926,174027680,0.03,0.7462686567164178
2023-07-10,601618,4.06,4.08,4.03,4.06,406561,164979616,0.01,0.2469135802469135
2023-07-11,601618,4.07,4.09,4.05,4.07,375607,152876496,0.01,0.2463054187192118
2023-07-12,601618,4.07,4.08,3.99,4.0,452282,182319536,-0.07,-1.71990171990172
2023-07-13,601618,4.02,4.09,4.01,4.07,513315,208585536,0.07,1.7500000000000002
2023-07-14,601618,4.08,4.11,4.06,4.09,586835,239902800,0.02,0.4914004914004914
2023-07-17,601618,4.08,4.08,4.04,4.06,378266,153322816,-0.03,-0.7334963325183375
2023-07-18,601618,4.07,4.09,4.02,4.03,444886,179764432,-0.03,-0.7389162561576355
2023-07-19,601618,4.03,4.05,4.0,4.04,351946,141613488,0.01,0.2481389578163771
2023-07-20,601618,4.04,4.07,3.98,3.99,402359,161940544,-0.05,-1.2376237623762376
2023-07-21,601618,3.99,4.02,3.97,3.99,305018,121796144,0.0,0.0
2023-07-24,601618,4.0,4.04,3.97,4.01,420288,168545648,0.02,0.5012531328320802
2023-07-25,601618,3.98,4.02,3.97,4.01,603593,241382176,0.0,0.0
2023-07-26,601618,4.01,4.04,3.96,3.98,527504,210579168,-0.03,-0.7481296758104738
2023-07-27,601618,3.98,4.04,3.95,3.98,636970,254639280,0.0,0.0
2023-07-28,601618,3.97,4.08,3.95,4.07,1028717,414348544,0.09,2.261306532663317
2023-07-31,601618,4.08,4.23,4.07,4.19,1265579,526483808,0.12,2.9484029484029484
2023-08-01,601618,4.18,4.23,4.15,4.2,726878,304797760,0.01,0.2386634844868735
2023-08-02,601618,4.2,4.22,4.12,4.15,672913,279771968,-0.05,-1.1904761904761905
2023-08-03,601618,4.14,4.16,4.09,4.14,494555,204058272,-0.01,-0.2409638554216867
2023-08-04,601618,4.16,4.18,4.13,4.15,531889,221032320,0.01,0.2415458937198067
2023-08-07,601618,4.14,4.14,4.07,4.09,546368,223828064,-0.06,-1.4457831325301205
2023-08-08,601618,4.08,4.11,4.05,4.06,656315,267318224,-0.03,-0.7334963325183375
2023-08-09,601618,4.06,4.09,4.02,4.04,577301,233560320,-0.02,-0.4926108374384236
2023-08-10,601618,4.04,4.05,3.99,4.02,523508,210194016,-0.02,-0.495049504950495
2023-08-11,601618,4.02,4.03,3.87,3.88,1006084,396517408,-0.14,-3.482587064676617
2023-08-14,601618,3.85,3.93,3.79,3.89,936724,360077920,0.01,0.2577319587628865
2023-08-15,601618,3.89,3.95,3.86,3.93,707677,277145440,0.04,1.0282776349614395
2023-08-16,601618,3.93,3.93,3.85,3.87,453389,175810848,-0.06,-1.5267175572519085
2023-08-17,601618,3.85,3.91,3.82,3.89,550522,212913056,0.02,0.516795865633075
2023-08-18,601618,3.89,3.92,3.83,3.83,434110,168252512,-0.06,-1.5424164524421593
2023-08-21,601618,3.83,3.88,3.8,3.81,464068,178419504,-0.02,-0.5221932114882507
2023-08-22,601618,3.81,3.89,3.81,3.86,571712,219912784,0.05,1.3123359580052494
2023-08-23,601618,3.87,3.87,3.79,3.8,471016,180322608,-0.06,-1.5544041450777202
2023-08-24,601618,3.82,3.83,3.63,3.64,1349462,498506624,-0.16,-4.2105263157894735
2023-08-25,601618,3.63,3.68,3.6,3.64,665644,242495952,0.0,0.0
2023-08-28,601618,3.84,3.88,3.72,3.74,1080524,408893376,0.1,2.747252747252748
2023-08-29,601618,3.74,3.77,3.71,3.72,844655,315421696,-0.02,-0.53475935828877
2023-08-30,601618,3.72,3.74,3.64,3.66,844263,310277120,-0.06,-1.6129032258064515
2023-08-31,601618,3.69,3.72,3.63,3.64,738369,270708864,-0.02,-0.546448087431694
2023-09-01,601618,3.65,3.71,3.65,3.7,759047,279393024,0.06,1.6483516483516485
2023-09-04,601618,3.71,3.8,3.7,3.78,1034679,389526432,0.08,2.1621621621621623
2023-09-05,601618,3.76,3.77,3.68,3.7,747734,277622080,-0.08,-2.1164021164021163
2023-09-06,601618,3.68,3.7,3.66,3.68,566390,208459840,-0.02,-0.5405405405405406
2023-09-07,601618,3.68,3.7,3.65,3.65,486777,178810080,-0.03,-0.8152173913043478
2023-09-08,601618,3.65,3.66,3.61,3.63,402432,145962656,-0.02,-0.547945205479452
2023-09-11,601618,3.65,3.69,3.61,3.68,736816,269232032,0.05,1.3774104683195594
2023-09-12,601618,3.67,3.72,3.66,3.68,534114,197248320,0.0,0.0
2023-09-13,601618,3.68,3.71,3.65,3.66,466960,171623392,-0.02,-0.5434782608695652
2023-09-14,601618,3.68,3.71,3.65,3.7,651138,240139488,0.04,1.092896174863388
2023-09-15,601618,3.7,3.73,3.66,3.67,651941,240773616,-0.03,-0.8108108108108109
