Date,secucode,open,high,low,close,volume,amount,change,change_ratio
2023-07-03,300142,26.64,26.85,26.45,26.63,158363,421802656.0,0.18,0.6805293005671078
2023-07-04,300142,26.5,26.74,26.15,26.44,172821,456725728.0,-0.19,-0.7134810364250845
2023-07-05,300142,26.33,26.46,26.05,26.1,120387,315154944.0,-0.34,-1.2859304084720122
2023-07-06,300142,26.03,26.09,25.58,25.6,144245,371957312.0,-0.5,-1.9157088122605364
2023-07-07,300142,25.61,25.65,25.15,25.17,132887,337232384.0,-0.43,-1.6796875
2023-07-10,300142,25.25,26.76,25.25,26.07,278152,728105344.0,0.9,3.575685339690107
2023-07-11,300142,26.31,26.68,26.13,26.39,139259,367113504.0,0.32,1.2274645186037592
2023-07-12,300142,26.48,26.75,26.21,26.33,136447,361623840.0,-0.06,-0.2273588480485032
2023-07-13,300142,26.48,27.08,26.37,26.91,188694,506076352.0,0.58,2.2028104823395367
2023-07-14,300142,26.95,26.95,26.4,26.59,154058,410005760.0,-0.32,-1.1891490152359718
2023-07-17,300142,26.51,26.58,26.06,26.16,113135,296666816.0,-0.43,-1.6171493042497178
2023-07-18,300142,26.21,26.48,25.98,26.41,100971,264936848.0,0.25,0.95565749235474
2023-07-19,300142,26.33,26.55,26.16,26.25,71694,188608640.0,-0.16,-0.605831124574025
2023-07-20,300142,26.33,26.56,25.96,25.96,85709,225003456.0,-0.29,-1.1047619047619048
2023-07-21,300142,26.12,27.58,26.12,26.8,300548,809368512.0,0.84,3.235747303543913
2023-07-24,300142,26.69,27.32,26.46,26.51,186164,499158272.0,-0.29,-1.082089552238806
2023-07-25,300142,26.98,26.99,26.45,26.78,150694,402184448.0,0.27,1.018483591097699
2023-07-26,300142,26.77,27.9,26.56,27.65,318812,878424512.0,0.87,3.2486930545182973
2023-07-27,300142,27.48,28.15,27.28,27.65,248331,686641920.0,0.0,0.0
2023-07-28,300142,27.48,27.9,27.18,27.8,207106,570362688.0,0.15,0.5424954792043399
2023-07-31,300142,27.7,27.94,27.01,27.16,306786,840875136.0,-0.64,-2.302158273381295
2023-08-01,300142,27.06,28.45,26.92,27.8,334158,933525184.0,0.64,2.3564064801178204
2023-08-02,300142,27.48,27.59,27.1,27.29,195974,534936640.0,-0.51,-1.83453237410072
2023-08-03,300142,27.17,27.65,27.11,27.6,159766,438748992.0,0.31,1.1359472334188347
2023-08-04,300142,27.61,27.69,27.2,27.25,169403,463414592.0,-0.35,-1.2681159420289856
2023-08-07,300142,27.22,27.22,26.27,26.39,224750,598130304.0,-0.86,-3.1559633027522938
2023-08-08,300142,26.31,26.52,25.8,26.2,135960,355484576.0,-0.19,-0.7199696854869269
2023-08-09,300142,26.21,27.87,26.12,27.5,404332,1103235328.0,1.3,4.961832061068702
