Date,secucode,open,high,low,close,volume,amount,change,change_ratio,Newsnum_Title_news1,Newsnum_Cont_news1,Posnews_All_news1,Neunews_All_news1,Negnews_All_news1,Posnews_Ori_news1,Neunews_Ori_news1,Negnews_Ori_news1,Newsnum_Title_news2,Newsnum_Cont_news2,Posnews_All_news2,Neunews_All_news2,Negnews_All_news2,Posnews_Ori_news2,Neunews_Ori_news2,Negnews_Ori_news2
2023-07-03,601633,25.4,26.22,25.35,26.16,317671,825057792,0.99,3.9332538736591176,0,1,1,0,0,1,0,0,0,15,11,2,2,7,1,1
2023-07-04,601633,26.2,26.5,25.77,26.22,248350,650996224,0.06,0.2293577981651376,0,2,1,1,0,1,1,0,1,14,11,2,1,2,1,1
2023-07-05,601633,26.18,26.19,25.73,25.74,158315,409750336,-0.48,-1.8306636155606408,0,2,0,2,0,0,2,0,10,17,10,5,2,2,1,0
2023-07-06,601633,25.67,26.17,25.46,25.98,148488,384683808,0.24,0.9324009324009324,0,3,1,2,0,1,1,0,15,40,21,11,9,5,3,3
2023-07-07,601633,25.89,26.18,25.72,25.91,111377,288571200,-0.07,-0.2694380292532717,0,2,1,0,1,1,0,0,2,24,14,0,11,2,0,1
2023-07-10,601633,25.91,26.3,25.51,25.62,98491,254018208,-0.29,-1.1192589733693554,0,6,2,3,1,1,0,1,1,23,7,6,10,2,2,1
2023-07-11,601633,25.8,26.36,25.6,26.22,163248,425997568,0.6,2.3419203747072603,0,3,2,1,0,1,1,0,0,12,7,2,3,1,1,1
2023-07-12,601633,26.24,26.76,25.93,26.01,170669,449188512,-0.21,-0.8009153318077803,0,4,2,2,0,1,0,0,0,10,7,2,1,1,1,0
2023-07-13,601633,25.7,25.95,25.39,25.67,104981,268718080,-0.34,-1.30718954248366,0,3,1,1,1,1,1,0,1,17,9,2,6,2,1,1
2023-07-14,601633,25.63,25.66,25.2,25.4,88286,224116384,-0.27,-1.0518114530580445,0,6,3,2,1,0,1,0,10,15,5,3,7,1,0,1
2023-07-17,601633,25.3,25.3,24.7,25.04,105892,263575520,-0.36,-1.4173228346456692,0,2,2,0,0,1,0,0,3,9,7,1,1,4,0,0
2023-07-18,601633,25.06,25.67,24.8,25.49,124292,314529536,0.45,1.7971246006389778,0,2,2,0,0,0,0,0,7,16,12,1,3,2,1,0
2023-07-19,601633,25.31,25.59,25.23,25.33,87766,222950400,-0.16,-0.6276971361318164,0,4,3,0,1,1,0,0,4,11,5,3,3,1,0,2
2023-07-20,601633,25.49,25.68,24.89,24.93,100029,252884448,-0.4,-1.5791551519936835,1,3,2,1,0,2,1,0,1,15,9,3,3,3,2,1
2023-07-21,601633,24.94,25.34,24.69,25.07,77789,194539664,0.14,0.5615724027276374,0,2,2,0,0,1,0,0,2,8,2,1,5,1,0,3
2023-07-24,601633,24.82,25.33,24.58,24.89,79938,199235024,-0.18,-0.7179896290386917,1,2,2,0,0,1,0,0,3,22,10,7,5,2,2,0
2023-07-25,601633,25.21,26.94,25.21,26.65,400564,1058393408,1.76,7.071112896745681,0,9,6,3,0,5,3,0,6,11,6,0,5,3,0,2
2023-07-26,601633,26.65,26.65,26.01,26.1,142717,374755008,-0.55,-2.063789868667917,0,1,0,0,1,0,0,0,4,18,8,3,7,2,0,1
2023-07-27,601633,26.5,27.07,25.89,25.97,205590,542784960,-0.13,-0.4980842911877395,1,3,1,0,2,0,0,2,0,14,7,4,3,3,1,1
2023-07-28,601633,25.87,28.38,25.45,28.17,534046,1466955008,2.2,8.471313053523296,0,1,0,0,1,0,0,0,5,18,11,3,4,4,2,1
2023-07-31,601633,28.46,30.16,28.46,29.56,488511,1447216256,1.39,4.934327298544551,,,,,,,,,3,9,6,1,2,1,1,1
2023-08-01,601633,29.21,30.88,29.05,29.55,406155,1217159424,-0.01,-0.03382949932341,1,2,1,1,0,0,0,0,3,11,9,1,1,0,0,0
2023-08-02,601633,29.55,31.55,29.55,30.22,371986,1135377792,0.67,2.267343485617597,0,1,0,1,0,0,1,0,6,26,15,3,8,4,1,3
2023-08-03,601633,30.01,30.2,29.48,29.85,198827,591346624,-0.37,-1.224354731965586,,,,,,,,,6,15,7,6,2,1,1,0
2023-08-04,601633,30.03,30.6,29.75,29.83,185320,556703808,-0.02,-0.067001675041876,0,1,1,0,0,0,0,0,8,24,13,7,4,3,2,0
2023-08-07,601633,29.77,30.28,29.4,29.73,158701,472900640,-0.1,-0.3352329869259135,1,5,2,2,1,0,2,0,6,26,16,8,2,2,1,0
2023-08-08,601633,29.55,29.8,29.11,29.46,132590,390521152,-0.27,-0.9081735620585268,0,3,3,0,0,1,0,0,1,39,20,9,10,4,2,1
2023-08-09,601633,29.46,29.49,28.8,29.1,142611,415286240,-0.36,-1.2219959266802445,0,4,2,0,2,1,0,0,2,17,11,2,4,3,1,0
2023-08-10,601633,29.0,29.31,28.45,28.72,182104,522120288,-0.38,-1.3058419243986257,0,2,0,1,1,0,0,0,1,11,5,2,4,1,0,0
2023-08-11,601633,28.71,28.89,27.9,27.99,201330,568002816,-0.73,-2.541782729805014,0,2,1,1,0,0,1,0,8,30,10,7,13,2,2,2
2023-08-14,601633,27.59,27.61,26.07,26.72,277434,740076032,-1.27,-4.537334762415148,0,3,1,1,1,0,0,0,0,18,4,2,12,0,1,1
2023-08-15,601633,26.98,27.16,26.36,26.62,154738,412299680,-0.1,-0.374251497005988,,,,,,,,,0,6,2,3,1,0,3,0
