tradingday,secucode,preclose,open,high,low,close,vol,amount,deals
20230403,688303,48.63,48.58,48.88,48.02,48.81,9533293,462603220.0,14411
20230404,688303,48.81,48.73,48.73,48.02,48.12,9478052,457218855.0,15193
20230406,688303,48.12,48.24,48.39,47.7,48.27,9336875,448487958.0,14805
20230407,688303,48.27,48.18,48.49,48.1,48.37,6586650,318355742.0,10267
20230410,688303,48.37,48.65,49.34,48.63,49.08,12349119,605244486.0,18661
20230411,688303,49.08,49.3,49.3,48.81,48.98,8166365,400063285.0,12425
20230412,688303,48.98,49.03,49.14,48.68,48.71,7525244,367181693.0,11023
20230413,688303,48.71,48.83,49.08,48.55,48.6,7126763,347581742.0,11165
20230414,688303,48.6,48.54,49.25,48.36,49.03,9642343,471638642.0,13018
20230417,688303,49.03,48.98,49.54,48.9,49.52,10075431,497545301.0,13373
20230418,688303,49.52,49.57,50.01,49.31,49.36,10669923,529872508.0,15445
20230419,688303,49.36,50.09,50.16,49.6,49.68,11114971,554012957.0,15865
20230420,688303,49.68,49.68,49.92,49.05,49.24,9075275,447563002.0,12135
20230421,688303,49.24,49.35,52.2,49.25,50.75,24270639,1237715884.0,33132
20230424,688303,50.75,50.9,51.0,49.68,50.2,14364385,719364895.0,22053
20230425,688303,50.2,49.79,50.2,47.82,48.38,17733299,858234395.0,26383
20230426,688303,44.78,44.75,46.38,43.0,45.18,16827356,758307886.0,22327
20230427,688303,45.18,45.19,45.4,44.0,44.0,9920162,439675708.0,14158
20230428,688303,44.0,42.71,42.71,40.14,41.4,24315115,1005290438.0,31689
20230504,688303,41.4,40.8,41.38,40.35,40.44,9924988,403687216.0,14640
20230505,688303,40.44,40.41,40.41,38.73,38.93,13034234,511393837.0,17155
20230508,688303,38.93,39.23,39.61,38.88,39.38,6423273,252458982.0,8193
20230509,688303,39.38,39.49,39.49,38.62,38.67,7522671,292679532.0,10236
20230510,688303,38.67,38.62,39.09,38.23,38.85,5645229,218796273.0,7996
20230511,688303,38.85,38.88,39.1,38.45,38.77,5798674,225070125.0,7042
20230512,688303,38.77,38.81,39.16,38.8,39.0,5511629,214856443.0,8031
20230515,688303,39.0,39.04,39.93,39.04,39.91,8062022,319911949.0,11878
20230516,688303,39.91,39.96,40.42,39.71,39.91,5505713,220464887.0,8364
20230517,688303,39.91,39.8,40.19,39.56,39.77,3881323,154502395.0,5311
20230518,688303,39.77,39.96,40.03,39.25,39.39,4429516,175291382.0,6833
20230519,688303,39.39,39.4,39.63,39.0,39.56,3501816,137737767.0,5342
20230522,688303,39.56,39.52,39.79,39.2,39.73,3623587,143477197.0,5724
20230523,688303,39.73,39.72,40.54,39.58,40.05,5917327,237380571.0,8069
20230524,688303,40.05,40.15,40.83,40.0,40.51,7352909,298019842.0,10281
20230525,688303,40.51,40.4,40.81,39.88,40.2,6823413,275237587.0,10903
20230526,688303,40.2,40.26,40.3,38.78,39.06,6005453,235464485.0,8969
20230529,688303,39.06,39.09,39.92,39.09,39.59,7744803,305901762.0,14022
20230530,688303,39.59,39.47,40.18,39.0,40.14,7670197,305628240.0,14334
20230531,688303,40.14,40.18,42.7,40.14,42.7,25548184,1065202625.0,28565
20230601,688303,42.7,42.33,42.89,41.66,42.25,10513906,445283193.0,17824
20230602,688303,42.25,42.71,42.87,42.02,42.75,6374764,272114776.0,11788
