日期,时间,代码,名称,开盘,最高,最低,收盘,总手,金额,涨幅,涨幅比
2015-01-05,15:00,sz002593,日上集团,13.35,13.58,13.19,13.2,16980,22587478.0,-0.28,-2.0771513353115725
2015-01-06,15:00,sz002593,日上集团,13.19,13.58,12.61,13.52,35451,46752364.0,0.32,2.4242424242424243
2015-01-07,15:00,sz002593,日上集团,13.45,13.64,13.24,13.57,15454,20839260.0,0.05,0.3698224852071006
2015-01-08,15:00,sz002593,日上集团,13.58,13.58,13.31,13.5,9626,12979639.0,-0.07,-0.5158437730287398
2015-01-09,15:00,sz002593,日上集团,13.49,13.63,13.44,13.45,8979,12118202.0,-0.05,-0.3703703703703704
2015-01-12,15:00,sz002593,日上集团,13.46,13.5,13.3,13.43,4368,5855791.0,-0.02,-0.1486988847583643
2015-01-13,15:00,sz002593,日上集团,13.44,13.6,13.44,13.6,4413,5974368.5,0.17,1.2658227848101269
2015-01-14,15:00,sz002593,日上集团,13.6,13.84,13.54,13.61,9920,13612395.0,0.01,0.0735294117647058
2015-01-15,15:00,sz002593,日上集团,13.61,13.77,13.57,13.68,5579,7651915.0,0.07,0.5143277002204262
2015-01-16,15:00,sz002593,日上集团,13.8,14.45,13.61,14.37,44711,62398532.0,0.69,5.043859649122807
2015-01-19,15:00,sz002593,日上集团,14.37,14.71,14.01,14.7,65622,95071832.0,0.33,2.2964509394572024
2015-01-20,15:00,sz002593,日上集团,14.7,15.2,14.39,14.57,111564,163327168.0,-0.13,-0.8843537414965987
2015-01-21,15:00,sz002593,日上集团,14.84,16.03,14.61,15.49,95745,146305440.0,0.92,6.314344543582704
2015-01-22,15:00,sz002593,日上集团,15.99,15.99,15.36,15.61,73375,114518360.0,0.12,0.7746933505487411
2015-01-23,15:00,sz002593,日上集团,15.5,15.6,15.07,15.18,32313,49290996.0,-0.43,-2.754644458680333
2015-01-26,15:00,sz002593,日上集团,15.28,15.98,15.15,15.73,43328,67837576.0,0.55,3.6231884057971016
2015-01-27,15:00,sz002593,日上集团,15.73,16.58,15.72,16.38,66764,108492456.0,0.65,4.132231404958678
2015-01-28,15:00,sz002593,日上集团,16.56,16.58,15.91,15.95,21046,34055472.0,-0.43,-2.625152625152625
2015-01-29,15:00,sz002593,日上集团,15.95,17.53,15.9,15.99,55528,90138136.0,0.04,0.2507836990595611
2015-01-30,15:00,sz002593,日上集团,16.14,16.44,15.88,16.23,37960,61170304.0,0.24,1.50093808630394
2015-02-02,15:00,sz002593,日上集团,16.23,16.3,15.73,15.77,15281,24495224.0,-0.46,-2.8342575477510783
2015-02-03,15:00,sz002593,日上集团,15.85,16.0,15.15,15.3,25367,39227868.0,-0.47,-2.9803424223208625
2015-02-04,15:00,sz002593,日上集团,15.6,15.88,15.31,15.6,22402,35115080.0,0.3,1.96078431372549
2015-02-05,15:00,sz002593,日上集团,15.75,15.9,15.45,15.65,25076,39349928.0,0.05,0.3205128205128205
2015-02-06,15:00,sz002593,日上集团,15.62,16.6,15.6,16.12,46376,74578488.0,0.47,3.0031948881789137
2015-02-09,15:00,sz002593,日上集团,16.24,16.24,15.6,15.9,15965,25257852.0,-0.22,-1.3647642679900744
2015-02-10,15:00,sz002593,日上集团,15.0,15.98,14.42,15.91,32125,49086992.0,0.01,0.0628930817610062
2015-02-11,15:00,sz002593,日上集团,15.91,16.49,15.61,16.13,40394,64869120.0,0.22,1.3827781269641737
2015-02-12,15:00,sz002593,日上集团,16.12,16.3,15.7,15.8,19049,30392172.0,-0.33,-2.045877247365158
2015-02-13,15:00,sz002593,日上集团,15.98,15.98,15.61,15.67,17239,27056074.0,-0.13,-0.8227848101265823
2015-02-16,15:00,sz002593,日上集团,15.71,15.94,15.64,15.9,31473,49644276.0,0.23,1.467772814294831
2015-02-17,15:00,sz002593,日上集团,15.86,16.69,15.8,16.08,46279,74170640.0,0.18,1.1320754716981132
2015-02-25,15:00,sz002593,日上集团,16.2,16.99,15.88,16.38,71166,116345544.0,0.3,1.8656716417910448
2015-02-26,15:00,sz002593,日上集团,16.6,16.96,16.03,16.5,45391,74973144.0,0.12,0.7326007326007326
2015-02-27,15:00,sz002593,日上集团,16.26,16.38,15.95,15.97,85710,138287984.0,-0.53,-3.212121212121212
2015-03-02,15:00,sz002593,日上集团,15.88,15.98,15.72,15.87,49885,78997008.0,-0.1,-0.6261740763932373
2015-03-03,15:00,sz002593,日上集团,15.98,16.18,15.74,15.88,38380,60968260.0,0.01,0.0630119722747322
2015-03-04,15:00,sz002593,日上集团,15.83,16.07,14.99,15.02,181811,275797568.0,-0.86,-5.415617128463476
2015-03-05,15:00,sz002593,日上集团,15.05,15.15,14.94,15.07,68555,103045544.0,0.05,0.3328894806924101
2015-03-06,15:00,sz002593,日上集团,15.04,15.18,14.99,15.12,49320,74443312.0,0.05,0.33178500331785
2015-03-09,15:00,sz002593,日上集团,15.15,15.15,14.85,14.98,42968,64198632.0,-0.14,-0.9259259259259258
2015-03-10,15:00,sz002593,日上集团,14.97,15.14,14.93,15.06,47572,71504280.0,0.08,0.5340453938584779
2015-03-11,15:00,sz002593,日上集团,15.1,15.14,14.76,14.88,52778,78719768.0,-0.18,-1.195219123505976
2015-03-12,15:00,sz002593,日上集团,15.0,15.05,14.49,14.53,73890,108793472.0,-0.35,-2.3521505376344085
2015-03-13,15:00,sz002593,日上集团,14.53,14.77,14.38,14.75,58558,85148528.0,0.22,1.5141087405368203
2015-03-16,15:00,sz002593,日上集团,14.76,15.2,14.76,15.18,86658,130157000.0,0.43,2.915254237288136
2015-03-17,15:00,sz002593,日上集团,15.18,15.99,15.01,15.87,147151,227053376.0,0.69,4.545454545454546
2015-03-18,15:00,sz002593,日上集团,15.7,15.93,15.54,15.8,97094,153019088.0,-0.07,-0.4410838059231254
2015-03-19,15:00,sz002593,日上集团,15.8,16.31,15.62,16.26,118309,189012352.0,0.46,2.911392405063291
2015-03-20,15:00,sz002593,日上集团,16.2,16.2,15.91,15.97,70918,113635872.0,-0.29,-1.7835178351783518
2015-03-23,15:00,sz002593,日上集团,16.0,16.21,15.71,16.17,86713,138413440.0,0.2,1.2523481527864746
2015-03-24,15:00,sz002593,日上集团,16.16,16.16,15.41,15.78,72903,115155056.0,-0.39,-2.411873840445269
2015-03-25,15:00,sz002593,日上集团,15.75,16.53,15.62,16.32,148086,240070224.0,0.54,3.4220532319391634
2015-03-26,15:00,sz002593,日上集团,16.15,16.18,15.62,15.88,85806,136627680.0,-0.44,-2.696078431372549
2015-03-27,15:00,sz002593,日上集团,15.84,16.14,15.73,15.87,46941,74841752.0,-0.01,-0.0629722921914357
2015-03-30,15:00,sz002593,日上集团,16.03,16.3,15.78,16.15,88815,142706176.0,0.28,1.7643352236925016
2015-03-31,15:00,sz002593,日上集团,16.17,16.74,16.17,16.43,112219,184677520.0,0.28,1.7337461300309598
2015-04-01,15:00,sz002593,日上集团,16.44,16.96,16.41,16.78,93520,156905840.0,0.35,2.130249543517955
2015-04-02,15:00,sz002593,日上集团,16.87,17.55,16.6,17.41,107884,184562080.0,0.63,3.7544696066746126
2015-04-03,15:00,sz002593,日上集团,17.2,18.11,17.11,17.88,97950,174080624.0,0.47,2.6995979322228605
2015-04-07,15:00,sz002593,日上集团,17.98,18.08,17.52,18.03,83282,148991136.0,0.15,0.8389261744966443
2015-04-08,15:00,sz002593,日上集团,18.0,18.05,16.96,17.28,107115,187860096.0,-0.75,-4.159733777038269
2015-04-09,15:00,sz002593,日上集团,17.27,17.3,16.0,17.15,74543,124827816.0,-0.13,-0.7523148148148148
2015-04-10,15:00,sz002593,日上集团,17.01,18.87,16.7,18.87,124326,225937376.0,1.72,10.029154518950437
2015-04-13,15:00,sz002593,日上集团,20.2,20.76,20.1,20.76,190965,393211040.0,1.89,10.01589825119237
2015-04-14,15:00,sz002593,日上集团,21.22,22.48,20.3,21.86,149869,320001888.0,1.1,5.298651252408478
2015-04-15,15:00,sz002593,日上集团,21.46,23.98,21.02,22.32,130657,295766368.0,0.46,2.104300091491308
2015-04-16,15:00,sz002593,日上集团,21.43,23.92,20.09,23.02,106458,238146704.0,0.7,3.136200716845878
2015-04-17,15:00,sz002593,日上集团,23.1,23.46,22.01,22.35,83293,187505152.0,-0.67,-2.9105125977410946
2015-04-20,15:00,sz002593,日上集团,21.99,23.03,21.05,21.97,90441,200450000.0,-0.38,-1.7002237136465326
2015-04-21,15:00,sz002593,日上集团,21.99,24.17,21.35,24.17,90631,207031760.0,2.2,10.013654984069186
2015-04-22,15:00,sz002593,日上集团,25.4,26.36,24.71,25.19,124510,317333952.0,1.02,4.220107571369466
2015-04-23,15:00,sz002593,日上集团,25.3,25.99,24.71,25.22,108700,275205952.0,0.03,0.1190948789202064
2015-04-24,15:00,sz002593,日上集团,24.26,25.22,23.88,24.96,94488,232456224.0,-0.26,-1.0309278350515465
2015-04-27,15:00,sz002593,日上集团,25.1,25.7,24.25,24.96,93427,235366928.0,0.0,0.0
2015-04-28,15:00,sz002593,日上集团,25.0,25.45,23.45,23.85,67634,164024704.0,-1.11,-4.447115384615385
2015-04-29,15:00,sz002593,日上集团,23.37,24.85,23.37,24.52,63951,156260752.0,0.67,2.8092243186582806
2015-04-30,15:00,sz002593,日上集团,25.0,25.3,24.38,24.54,62099,154106288.0,0.02,0.0815660685154975
2015-05-04,15:00,sz002593,日上集团,24.54,24.9,23.9,24.13,39913,96746808.0,-0.41,-1.6707416462917686
2015-05-05,15:00,sz002593,日上集团,24.18,24.8,23.79,24.56,56856,138424336.0,0.43,1.7820140903439703
2015-05-06,15:00,sz002593,日上集团,24.58,25.62,24.58,25.1,76107,191358784.0,0.54,2.198697068403909
2015-05-07,15:00,sz002593,日上集团,25.31,27.3,24.8,26.59,82378,216332336.0,1.49,5.936254980079681
2015-05-08,15:00,sz002593,日上集团,27.22,29.15,26.59,28.74,85344,234908784.0,2.15,8.08574652124859
2015-05-11,15:00,sz002593,日上集团,28.76,31.28,28.75,30.89,92344,278188512.0,2.15,7.480862908837857
2015-05-12,15:00,sz002593,日上集团,31.47,33.98,30.0,33.98,110259,355894048.0,3.09,10.003237293622531
2015-05-13,15:00,sz002593,日上集团,33.7,34.97,31.6,33.0,90015,302107648.0,-0.98,-2.884049440847557
2015-05-14,15:00,sz002593,日上集团,33.6,33.6,32.08,32.51,68629,223615104.0,-0.49,-1.4848484848484849
2015-05-15,15:00,sz002593,日上集团,32.58,34.83,32.01,34.11,76471,256438048.0,1.6,4.92156259612427
2015-05-18,15:00,sz002593,日上集团,34.83,35.0,33.7,34.58,55961,191711824.0,0.47,1.3778950454412195
2015-05-19,15:00,sz002593,日上集团,34.94,34.94,33.8,34.37,50658,172915024.0,-0.21,-0.6072874493927125
2015-05-20,15:00,sz002593,日上集团,34.45,37.8,33.7,36.38,66828,240479104.0,2.01,5.8481233633983125
2015-05-21,15:00,sz002593,日上集团,35.9,39.29,35.9,38.99,61343,232998944.0,2.61,7.174271577789996
2015-05-22,15:00,sz002593,日上集团,39.76,41.54,38.0,39.89,60022,235880144.0,0.9,2.308284175429597
2015-05-25,15:00,sz002593,日上集团,39.87,40.5,37.89,39.5,66996,262014976.0,-0.39,-0.9776886437703683
2015-05-26,15:00,sz002593,日上集团,41.0,41.24,39.58,40.05,70319,284722816.0,0.55,1.3924050632911391
2015-05-27,15:00,sz002593,日上集团,40.89,40.89,38.6,38.95,67612,264589424.0,-1.1,-2.746566791510612
2015-05-28,15:00,sz002593,日上集团,38.66,42.85,37.81,40.26,108426,440245344.0,1.31,3.363286264441592
2015-05-29,15:00,sz002593,日上集团,40.52,42.27,36.23,41.49,93349,376754080.0,1.23,3.055141579731744
2015-06-01,15:00,sz002593,日上集团,41.5,44.0,41.5,43.6,63115,272381504.0,2.11,5.085562786213545
2015-06-02,15:00,sz002593,日上集团,44.03,44.08,41.9,43.75,66863,288841024.0,0.15,0.3440366972477064
2015-06-03,15:00,sz002593,日上集团,43.74,43.74,41.0,41.0,56799,239453952.0,-2.75,-6.285714285714287
2015-06-04,15:00,sz002593,日上集团,40.07,40.1,36.9,38.53,105164,399427232.0,-2.47,-6.024390243902439
2015-06-05,15:00,sz002593,日上集团,38.53,39.3,36.3,37.68,110186,416074016.0,-0.85,-2.2060731897222943
