日期,时间,代码,名称,开盘,最高,最低,收盘,总手,金额,涨幅,涨幅比
2015-01-05,15:00,sz000757,浩物股份,7.24,7.48,7.15,7.45,68673,50494476.0,0.3,4.195804195804196
2015-01-06,15:00,sz000757,浩物股份,7.39,7.57,7.3,7.45,46484,34658504.0,0.0,0.0
2015-01-07,15:00,sz000757,浩物股份,7.38,7.55,7.35,7.37,25164,18635362.0,-0.08,-1.0738255033557047
2015-01-08,15:00,sz000757,浩物股份,7.37,7.47,7.22,7.3,33885,24780662.0,-0.07,-0.949796472184532
2015-01-09,15:00,sz000757,浩物股份,7.33,7.33,7.13,7.15,44689,32212992.0,-0.15,-2.054794520547945
2015-01-12,15:00,sz000757,浩物股份,7.1,7.21,7.1,7.11,22841,16319675.0,-0.04,-0.5594405594405595
2015-01-13,15:00,sz000757,浩物股份,7.16,7.21,7.05,7.19,22490,16122031.0,0.08,1.1251758087201125
2015-01-14,15:00,sz000757,浩物股份,7.19,7.22,6.98,7.01,45471,32114792.0,-0.18,-2.503477051460361
2015-01-15,15:00,sz000757,浩物股份,7.03,7.1,6.95,7.04,25758,18069202.0,0.03,0.4279600570613409
2015-01-16,15:00,sz000757,浩物股份,7.06,7.24,6.84,7.23,101098,70536688.0,0.19,2.698863636363636
2015-01-19,15:00,sz000757,浩物股份,7.2,7.32,6.98,7.15,93110,66604824.0,-0.08,-1.1065006915629323
2015-01-20,15:00,sz000757,浩物股份,7.34,7.34,7.1,7.22,74289,53452952.0,0.07,0.9790209790209792
2015-01-21,15:00,sz000757,浩物股份,7.22,7.48,7.17,7.22,158250,114892992.0,0.0,0.0
2015-01-22,15:00,sz000757,浩物股份,7.25,7.47,7.01,7.47,278934,201104688.0,0.25,3.462603878116344
2015-01-23,15:00,sz000757,浩物股份,7.34,7.66,7.3,7.49,211321,159012160.0,0.02,0.2677376171352075
2015-01-26,15:00,sz000757,浩物股份,7.49,7.57,7.35,7.52,122227,91180280.0,0.03,0.4005340453938585
2015-01-27,15:00,sz000757,浩物股份,7.48,7.65,7.44,7.57,110189,83188656.0,0.05,0.6648936170212766
2015-01-28,15:00,sz000757,浩物股份,7.57,7.88,7.55,7.78,142639,110437888.0,0.21,2.7741083223249667
2015-01-29,15:00,sz000757,浩物股份,7.65,7.73,7.6,7.62,74911,57375596.0,-0.16,-2.056555269922879
2015-01-30,15:00,sz000757,浩物股份,7.55,7.56,7.3,7.35,103628,76546384.0,-0.27,-3.543307086614173
2015-02-02,15:00,sz000757,浩物股份,7.25,7.44,7.12,7.36,57172,41942476.0,0.01,0.1360544217687074
2015-02-03,15:00,sz000757,浩物股份,7.38,7.58,7.36,7.55,52322,39208312.0,0.19,2.5815217391304346
2015-02-04,15:00,sz000757,浩物股份,7.61,7.61,7.41,7.41,51002,38265804.0,-0.14,-1.854304635761589
2015-02-05,15:00,sz000757,浩物股份,7.44,7.51,7.34,7.34,41012,30310972.0,-0.07,-0.9446693657219972
2015-02-06,15:00,sz000757,浩物股份,7.35,7.41,7.2,7.24,38449,27957792.0,-0.1,-1.3623978201634876
2015-02-09,15:00,sz000757,浩物股份,7.22,7.4,7.21,7.33,32627,23848200.0,0.09,1.2430939226519335
2015-02-10,15:00,sz000757,浩物股份,7.32,7.4,7.27,7.4,31434,23006022.0,0.07,0.9549795361527968
2015-02-11,15:00,sz000757,浩物股份,7.41,7.78,7.33,7.52,76398,57610180.0,0.12,1.6216216216216215
2015-02-12,15:00,sz000757,浩物股份,7.52,7.53,7.42,7.52,46411,34676820.0,0.0,0.0
2015-02-13,15:00,sz000757,浩物股份,7.58,7.65,7.55,7.58,49103,37282488.0,0.06,0.7978723404255319
2015-02-16,15:00,sz000757,浩物股份,7.66,7.75,7.59,7.73,61458,47316284.0,0.15,1.978891820580475
2015-02-17,15:00,sz000757,浩物股份,7.8,7.98,7.76,7.87,112792,88813040.0,0.14,1.8111254851228975
2015-02-25,15:00,sz000757,浩物股份,7.94,8.0,7.72,7.8,51205,40042912.0,-0.07,-0.8894536213468869
2015-02-26,15:00,sz000757,浩物股份,7.8,7.85,7.72,7.78,70427,54764264.0,-0.02,-0.2564102564102564
2015-02-27,15:00,sz000757,浩物股份,7.8,7.8,7.66,7.78,78106,60358204.0,0.0,0.0
2015-03-02,15:00,sz000757,浩物股份,7.78,7.96,7.71,7.94,83131,65507124.0,0.16,2.056555269922879
2015-03-03,15:00,sz000757,浩物股份,7.92,8.19,7.85,8.11,131231,105325616.0,0.17,2.141057934508816
2015-03-04,15:00,sz000757,浩物股份,8.1,8.19,8.06,8.18,75671,61592376.0,0.07,0.8631319358816275
2015-03-05,15:00,sz000757,浩物股份,8.18,8.5,8.05,8.39,102713,85235360.0,0.21,2.567237163814181
2015-03-06,15:00,sz000757,浩物股份,8.46,8.57,8.22,8.26,94901,79648112.0,-0.13,-1.5494636471990464
2015-03-09,15:00,sz000757,浩物股份,8.14,8.17,7.81,8.07,102595,82562648.0,-0.19,-2.3002421307506054
2015-03-10,15:00,sz000757,浩物股份,8.07,8.16,8.01,8.09,68294,55361476.0,0.02,0.2478314745972738
2015-03-11,15:00,sz000757,浩物股份,8.1,8.14,7.9,7.95,76061,60988376.0,-0.14,-1.73053152039555
2015-03-12,15:00,sz000757,浩物股份,7.95,8.0,7.77,7.84,99172,77872248.0,-0.11,-1.3836477987421385
2015-03-13,15:00,sz000757,浩物股份,7.85,8.14,7.81,8.1,101300,80506352.0,0.26,3.316326530612245
2015-03-16,15:00,sz000757,浩物股份,8.05,8.35,8.04,8.32,160243,131605648.0,0.22,2.716049382716049
2015-03-17,15:00,sz000757,浩物股份,8.32,8.39,8.23,8.35,123384,102533096.0,0.03,0.3605769230769231
2015-03-18,15:00,sz000757,浩物股份,8.36,8.67,8.24,8.62,174950,147798160.0,0.27,3.2335329341317367
2015-03-19,15:00,sz000757,浩物股份,8.63,9.18,8.49,9.06,214203,187529232.0,0.44,5.104408352668213
2015-03-20,15:00,sz000757,浩物股份,9.06,9.15,8.86,8.92,167466,150435488.0,-0.14,-1.545253863134658
2015-03-23,15:00,sz000757,浩物股份,8.92,9.03,8.88,8.99,120172,107756384.0,0.07,0.7847533632286996
2015-03-24,15:00,sz000757,浩物股份,8.97,9.89,8.95,9.89,292256,280568992.0,0.9,10.011123470522804
2015-03-25,15:00,sz000757,浩物股份,10.01,10.43,9.94,10.13,237568,241588192.0,0.24,2.426693629929221
2015-03-26,15:00,sz000757,浩物股份,10.15,10.65,9.68,10.3,219996,223434336.0,0.17,1.678183613030602
2015-03-27,15:00,sz000757,浩物股份,10.29,10.77,10.17,10.5,149322,157205232.0,0.2,1.9417475728155336
2015-03-30,15:00,sz000757,浩物股份,10.57,10.77,10.18,10.44,159797,166739472.0,-0.06,-0.5714285714285714
2015-03-31,15:00,sz000757,浩物股份,10.38,10.4,10.08,10.25,150026,153794624.0,-0.19,-1.8199233716475096
2015-04-01,15:00,sz000757,浩物股份,10.23,10.45,10.2,10.37,99218,102713264.0,0.12,1.170731707317073
2015-04-02,15:00,sz000757,浩物股份,10.36,10.66,10.21,10.64,153830,159246720.0,0.27,2.6036644165863065
2015-04-03,15:00,sz000757,浩物股份,10.9,11.39,10.69,11.16,179724,199871984.0,0.52,4.887218045112782
2015-04-07,15:00,sz000757,浩物股份,11.2,11.38,10.9,10.96,185845,205167296.0,-0.2,-1.7921146953405016
2015-04-08,15:00,sz000757,浩物股份,11.06,11.07,10.2,10.61,192856,205512176.0,-0.35,-3.1934306569343067
2015-04-09,15:00,sz000757,浩物股份,10.6,10.72,9.8,10.65,239085,243496080.0,0.04,0.3770028275212064
2015-04-10,15:00,sz000757,浩物股份,10.49,10.64,10.3,10.45,280400,293420736.0,-0.2,-1.8779342723004693
2015-04-13,15:00,sz000757,浩物股份,10.51,10.8,10.4,10.67,171282,181872288.0,0.22,2.1052631578947367
2015-04-14,15:00,sz000757,浩物股份,10.65,11.64,10.52,11.23,254229,284063936.0,0.56,5.248359887535145
2015-04-15,15:00,sz000757,浩物股份,11.1,12.35,11.1,12.0,289221,347523648.0,0.77,6.856634016028496
2015-04-16,15:00,sz000757,浩物股份,11.96,13.2,11.53,13.0,315897,398583776.0,1.0,8.333333333333332
2015-04-17,15:00,sz000757,浩物股份,12.81,12.9,12.3,12.45,309679,388625120.0,-0.55,-4.230769230769231
2015-04-20,15:00,sz000757,浩物股份,12.31,12.37,11.33,11.45,278272,328779456.0,-1.0,-8.032128514056225
2015-04-21,15:00,sz000757,浩物股份,11.39,11.77,11.04,11.74,171176,196078384.0,0.29,2.532751091703057
2015-04-22,15:00,sz000757,浩物股份,11.75,11.96,11.63,11.83,163821,193732448.0,0.09,0.7666098807495741
2015-04-23,15:00,sz000757,浩物股份,12.22,12.26,11.5,11.6,189744,222637248.0,-0.23,-1.944209636517329
2015-04-24,15:00,sz000757,浩物股份,11.4,11.62,11.17,11.52,145994,166721056.0,-0.08,-0.6896551724137931
