日期,时间,代码,名称,开盘,最高,最低,收盘,总手,金额,涨幅,涨幅比
2015-01-20,15:00,sz300292,吴通控股,18.78,18.78,18.78,18.78,6786,12745892.0,1.71,10.01757469244288
2015-01-21,15:00,sz300292,吴通控股,20.66,20.66,20.66,20.66,7139,14750703.0,1.88,10.010649627263046
2015-01-22,15:00,sz300292,吴通控股,21.95,22.73,21.6,22.73,244869,542349184.0,2.07,10.019361084220716
2015-01-23,15:00,sz300292,吴通控股,24.15,25.0,24.0,25.0,181354,448123072.0,2.27,9.986801583809942
2015-01-26,15:00,sz300292,吴通控股,24.79,24.9,23.58,24.43,174314,423913312.0,-0.57,-2.28
2015-01-27,15:00,sz300292,吴通控股,25.18,26.0,24.32,25.3,167322,419112864.0,0.87,3.5611952517396643
2015-01-28,15:00,sz300292,吴通控股,25.88,27.07,24.69,24.69,141225,363490016.0,-0.61,-2.411067193675889
2015-01-29,15:00,sz300292,吴通控股,25.31,26.48,24.82,25.95,130260,334142208.0,1.26,5.103280680437424
2015-01-30,15:00,sz300292,吴通控股,25.75,27.75,25.36,26.47,132030,351009152.0,0.52,2.003853564547206
2015-02-02,15:00,sz300292,吴通控股,25.3,29.12,25.2,28.0,161982,445201216.0,1.53,5.780128447298829
2015-02-03,15:00,sz300292,吴通控股,28.7,30.11,28.01,28.25,172471,500111328.0,0.25,0.8928571428571428
2015-02-04,15:00,sz300292,吴通控股,28.0,31.08,28.0,31.08,156256,465356192.0,2.83,10.017699115044248
2015-02-05,15:00,sz300292,吴通控股,30.97,34.19,30.3,32.95,168558,552206016.0,1.87,6.016731016731017
2015-02-06,15:00,sz300292,吴通控股,32.32,32.95,29.66,30.14,129962,402614592.0,-2.81,-8.528072837632777
2015-02-09,15:00,sz300292,吴通控股,30.04,31.88,28.9,29.4,107847,326888544.0,-0.74,-2.45520902455209
2015-02-10,15:00,sz300292,吴通控股,29.15,30.95,28.55,30.6,108163,318690112.0,1.2,4.081632653061225
2015-02-11,15:00,sz300292,吴通控股,30.1,30.86,29.6,30.15,95373,287496960.0,-0.45,-1.4705882352941175
2015-02-12,15:00,sz300292,吴通控股,30.3,30.7,29.0,29.41,85963,255966864.0,-0.74,-2.4543946932006637
2015-02-13,15:00,sz300292,吴通控股,29.7,30.5,29.37,30.31,90572,270836704.0,0.9,3.0601836110166607
2015-02-16,15:00,sz300292,吴通控股,29.99,29.99,28.36,29.3,99202,289065120.0,-1.01,-3.3322335862751564
2015-02-17,15:00,sz300292,吴通控股,29.03,29.65,28.7,29.48,67252,196571856.0,0.18,0.614334470989761
2015-02-25,15:00,sz300292,吴通控股,29.6,30.47,28.24,28.3,72781,213737120.0,-1.18,-4.002713704206242
2015-02-26,15:00,sz300292,吴通控股,27.87,28.17,26.53,27.62,72478,198318240.0,-0.68,-2.402826855123675
2015-02-27,15:00,sz300292,吴通控股,27.53,29.5,27.1,29.23,94076,268046768.0,1.61,5.8291093410572055
2015-03-02,15:00,sz300292,吴通控股,29.0,30.0,28.11,29.28,84038,244468880.0,0.05,0.1710571330824495
2015-03-03,15:00,sz300292,吴通控股,28.78,29.64,27.82,27.92,70488,202884592.0,-1.36,-4.644808743169399
2015-03-04,15:00,sz300292,吴通控股,28.1,30.71,28.09,30.71,90770,267550352.0,2.79,9.992836676217763
2015-03-05,15:00,sz300292,吴通控股,31.58,32.14,29.7,31.39,102445,314229568.0,0.68,2.2142624552263106
2015-03-06,15:00,sz300292,吴通控股,31.0,31.22,28.53,28.55,71356,210270448.0,-2.84,-9.047467346288627
2015-03-09,15:00,sz300292,吴通控股,28.15,29.48,27.72,28.6,41782,120068936.0,0.05,0.1751313485113835
2015-03-10,15:00,sz300292,吴通控股,28.67,29.55,28.28,29.0,37172,107864808.0,0.4,1.3986013986013983
2015-03-11,15:00,sz300292,吴通控股,28.8,30.29,28.62,29.3,47896,141530384.0,0.3,1.0344827586206895
2015-03-12,15:00,sz300292,吴通控股,29.3,30.11,27.38,27.59,56423,159657248.0,-1.71,-5.836177474402731
2015-03-13,15:00,sz300292,吴通控股,27.65,28.46,27.21,28.3,37011,103212816.0,0.71,2.573396158028271
2015-03-16,15:00,sz300292,吴通控股,28.8,29.88,28.56,29.74,60082,175748720.0,1.44,5.088339222614842
2015-03-17,15:00,sz300292,吴通控股,29.75,31.88,29.31,31.0,100361,308355808.0,1.26,4.236718224613315
2015-03-18,15:00,sz300292,吴通控股,30.46,30.93,29.56,30.73,63301,191956688.0,-0.27,-0.8709677419354838
2015-03-19,15:00,sz300292,吴通控股,30.58,31.9,30.31,31.2,63643,198631856.0,0.47,1.5294500488122356
2015-03-20,15:00,sz300292,吴通控股,31.0,32.99,30.86,32.64,81327,259544704.0,1.44,4.615384615384616
2015-03-23,15:00,sz300292,吴通控股,32.8,33.77,32.31,32.77,79906,262584752.0,0.13,0.3982843137254901
2015-03-24,15:00,sz300292,吴通控股,32.76,33.49,30.52,32.01,74034,237296512.0,-0.76,-2.3191943851083305
2015-03-25,15:00,sz300292,吴通控股,31.81,35.21,31.0,35.21,86207,283155136.0,3.2,9.99687597625742
2015-03-26,15:00,sz300292,吴通控股,35.07,36.35,32.5,33.82,92009,318748672.0,-1.39,-3.9477421187162736
2015-03-27,15:00,sz300292,吴通控股,33.19,34.0,32.19,33.35,50230,165933216.0,-0.47,-1.3897102306327618
2015-03-30,15:00,sz300292,吴通控股,32.51,33.2,30.3,31.4,65354,205683328.0,-1.95,-5.847076461769116
2015-03-31,15:00,sz300292,吴通控股,31.03,31.96,29.76,31.2,55866,172979776.0,-0.2,-0.6369426751592357
2015-04-01,15:00,sz300292,吴通控股,31.01,32.45,31.0,31.99,45219,144356528.0,0.79,2.532051282051282
2015-04-02,15:00,sz300292,吴通控股,32.05,33.88,32.01,33.68,71551,236419696.0,1.69,5.282900906533292
2015-04-03,15:00,sz300292,吴通控股,33.99,35.5,33.31,34.79,81996,282687296.0,1.11,3.2957244655581945
2015-04-07,15:00,sz300292,吴通控股,34.0,35.0,33.7,34.29,82566,283393312.0,-0.5,-1.4371945961483186
2015-04-08,15:00,sz300292,吴通控股,34.18,37.72,34.18,37.72,137196,499035712.0,3.43,10.0029163021289
2015-04-09,15:00,sz300292,吴通控股,38.95,38.95,33.95,35.8,105590,384365472.0,-1.92,-5.090137857900318
