日期,时间,代码,名称,开盘,最高,最低,收盘,总手,金额,涨幅,涨幅比
2015-01-05,15:00,sh600853,龙建股份,5.15,5.28,5.03,5.21,227354,117338000,0.06,1.1650485436893203
2015-01-06,15:00,sh600853,龙建股份,5.15,5.18,5.03,5.15,198087,101058000,-0.06,-1.151631477927063
2015-01-07,15:00,sh600853,龙建股份,5.14,5.24,5.09,5.22,187350,97032000,0.07,1.3592233009708738
2015-01-08,15:00,sh600853,龙建股份,5.2,5.2,5.02,5.04,173926,88332000,-0.18,-3.4482758620689653
2015-01-09,15:00,sh600853,龙建股份,5.0,5.2,4.97,5.0,181558,91859000,-0.04,-0.7936507936507936
2015-01-12,15:00,sh600853,龙建股份,4.93,4.93,4.69,4.71,154072,73892000,-0.29,-5.800000000000001
2015-01-13,15:00,sh600853,龙建股份,4.68,4.77,4.65,4.74,73791,34929000,0.03,0.6369426751592357
2015-01-14,15:00,sh600853,龙建股份,4.76,4.83,4.65,4.66,72819,34547000,-0.08,-1.6877637130801686
2015-01-15,15:00,sh600853,龙建股份,4.66,4.8,4.59,4.8,109549,51567000,0.14,3.004291845493562
2015-01-16,15:00,sh600853,龙建股份,4.79,4.88,4.75,4.81,111223,53529000,0.01,0.2083333333333333
2015-01-19,15:00,sh600853,龙建股份,4.65,4.65,4.33,4.33,190385,85121000,-0.48,-9.97920997920998
2015-01-20,15:00,sh600853,龙建股份,4.33,4.47,4.33,4.44,104029,45930000,0.11,2.5404157043879905
2015-01-21,15:00,sh600853,龙建股份,4.46,4.77,4.4,4.69,166393,76778000,0.25,5.63063063063063
2015-01-22,15:00,sh600853,龙建股份,4.69,4.89,4.63,4.86,185265,88357000,0.17,3.624733475479744
2015-01-23,15:00,sh600853,龙建股份,4.83,4.89,4.73,4.83,145266,69696000,-0.03,-0.6172839506172839
2015-01-26,15:00,sh600853,龙建股份,4.8,4.85,4.71,4.84,130120,62252000,0.01,0.2070393374741201
2015-01-27,15:00,sh600853,龙建股份,4.88,5.32,4.88,5.32,545001,279599008,0.48,9.917355371900827
2015-01-28,15:00,sh600853,龙建股份,5.25,5.25,5.04,5.09,375169,192695008,-0.23,-4.323308270676692
