日期,时间,代码,名称,开盘,最高,最低,收盘,总手,金额,涨幅,涨幅比
2015-01-05,15:00,sh600547,山东黄金,19.86,21.51,19.65,21.3,760078,1586795520,1.45,7.304785894206549
2015-01-06,15:00,sh600547,山东黄金,21.25,22.11,20.87,21.54,545850,1171048064,0.24,1.1267605633802815
2015-01-07,15:00,sh600547,山东黄金,21.9,23.69,21.9,23.69,1105810,2573750016,2.15,9.98142989786444
2015-01-08,15:00,sh600547,山东黄金,23.0,23.36,22.62,23.06,601388,1383014528,-0.63,-2.6593499366821445
2015-01-09,15:00,sh600547,山东黄金,22.79,23.5,22.4,22.6,430947,989660096,-0.46,-1.99479618386817
2015-01-12,15:00,sh600547,山东黄金,22.93,23.19,22.6,22.9,375211,859749376,0.3,1.327433628318584
2015-01-13,15:00,sh600547,山东黄金,23.35,23.78,22.06,22.34,494853,1138738816,-0.56,-2.445414847161572
2015-01-14,15:00,sh600547,山东黄金,22.03,22.25,21.15,21.54,353413,764272960,-0.8,-3.5810205908683974
2015-01-15,15:00,sh600547,山东黄金,21.6,21.98,21.22,21.94,228639,495202848,0.4,1.8570102135561743
2015-01-16,15:00,sh600547,山东黄金,24.0,24.04,22.92,23.5,706782,1661803008,1.56,7.110300820419326
2015-01-19,15:00,sh600547,山东黄金,23.5,25.38,23.18,24.16,887829,2175604992,0.66,2.8085106382978724
2015-01-20,15:00,sh600547,山东黄金,23.8,25.15,23.5,24.98,631651,1547451648,0.82,3.3940397350993377
2015-01-21,15:00,sh600547,山东黄金,26.05,27.2,25.63,27.03,768775,2020495616,2.05,8.206565252201761
2015-01-22,15:00,sh600547,山东黄金,26.17,29.73,26.07,28.58,938617,2644651008,1.55,5.734369219385868
2015-01-23,15:00,sh600547,山东黄金,29.5,30.0,28.0,28.28,740227,2141892352,-0.3,-1.0496850944716585
2015-01-26,15:00,sh600547,山东黄金,28.31,29.13,27.68,28.6,425970,1213296512,0.32,1.1315417256011315
2015-01-27,15:00,sh600547,山东黄金,28.0,28.1,27.11,27.72,556428,1532316032,-0.88,-3.076923076923077
2015-01-28,15:00,sh600547,山东黄金,27.9,28.35,27.18,27.23,340269,941299904,-0.49,-1.7676767676767675
2015-01-29,15:00,sh600547,山东黄金,26.66,26.66,25.61,26.19,432472,1131101824,-1.04,-3.8193169298567753
2015-01-30,15:00,sh600547,山东黄金,25.33,26.44,25.3,25.65,358658,923780224,-0.54,-2.061855670103093
2015-02-02,15:00,sh600547,山东黄金,26.0,26.79,25.7,26.54,364436,962065344,0.89,3.469785575048733
2015-02-03,15:00,sh600547,山东黄金,26.6,26.62,25.65,26.58,308109,802697728,0.04,0.1507159005275056
2015-02-04,15:00,sh600547,山东黄金,25.88,26.21,25.78,26.14,231480,602265792,-0.44,-1.655379984951091
2015-02-05,15:00,sh600547,山东黄金,26.6,26.7,25.58,25.64,249019,649384640,-0.5,-1.912777352716144
2015-02-06,15:00,sh600547,山东黄金,25.4,25.4,24.3,24.44,324432,801535168,-1.2,-4.6801872074883
2015-02-09,15:00,sh600547,山东黄金,23.72,23.84,22.8,23.68,343287,803246848,-0.76,-3.109656301145663
2015-02-10,15:00,sh600547,山东黄金,23.65,24.14,23.4,24.03,199136,476428928,0.35,1.4780405405405406
2015-02-11,15:00,sh600547,山东黄金,23.89,24.57,23.6,24.15,193637,466815200,0.12,0.4993757802746567
