Date,secucode
2023-07-03,600015
2023-07-04,600015
2023-07-05,600015
2023-07-06,600015
2023-07-07,600015
2023-07-10,600015
2023-07-11,600015
2023-07-12,600015
2023-07-13,600015
2023-07-14,600015
2023-07-17,600015
2023-07-18,600015
2023-07-19,600015
2023-07-20,600015
2023-07-21,600015
2023-07-24,600015
2023-07-25,600015
2023-07-26,600015
2023-07-27,600015
2023-07-28,600015
2023-07-31,600015
2023-08-01,600015
2023-08-02,600015
2023-08-03,600015
2023-08-04,600015
2023-08-07,600015
2023-08-08,600015
2023-08-09,600015
2023-08-10,600015
2023-08-11,600015
2023-08-14,600015
2023-08-15,600015
2023-08-16,600015
2023-08-17,600015
2023-08-18,600015
2023-08-21,600015
2023-08-22,600015
2023-08-23,600015
2023-08-24,600015
2023-08-25,600015
2023-08-28,600015
2023-08-29,600015
2023-08-30,600015
2023-08-31,600015
2023-09-01,600015
2023-09-04,600015
2023-09-05,600015
2023-09-06,600015
2023-09-07,600015
2023-09-08,600015
2023-09-11,600015
2023-09-12,600015
2023-09-13,600015
2023-09-14,600015
2023-09-15,600015
2023-09-18,600015
2023-09-19,600015
2023-09-20,600015
2023-09-21,600015
2023-09-22,600015
2023-09-25,600015
2023-09-26,600015
2023-09-27,600015
2023-09-28,600015
2023-10-09,600015
2023-10-10,600015
2023-10-11,600015
2023-10-12,600015
2023-10-13,600015
2023-10-16,600015
2023-10-17,600015
2023-10-18,600015
2023-10-19,600015
2023-10-20,600015
2023-10-23,600015
2023-10-24,600015
2023-10-25,600015
2023-10-26,600015
2023-10-27,600015
2023-10-30,600015
2023-10-31,600015
2023-11-01,600015
2023-11-02,600015
2023-11-03,600015
2023-11-06,600015
2023-11-07,600015
2023-11-08,600015
2023-11-09,600015
2023-11-10,600015
2023-11-13,600015
2023-11-14,600015
2023-11-15,600015
2023-11-16,600015
2023-11-17,600015
2023-11-20,600015
2023-11-21,600015
2023-11-22,600015
2023-11-23,600015
2023-11-24,600015
2023-11-27,600015
2023-11-28,600015
2023-11-29,600015
2023-11-30,600015
2023-12-01,600015
2023-12-04,600015
2023-12-05,600015
2023-12-06,600015
2023-12-07,600015
2023-12-08,600015
2023-12-11,600015
2023-12-12,600015
2023-12-13,600015
2023-12-14,600015
2023-12-15,600015
2023-12-18,600015
2023-12-19,600015
2023-12-20,600015
2023-12-21,600015
2023-12-22,600015
2023-12-25,600015
2023-12-26,600015
2023-12-27,600015
2023-12-28,600015
2023-12-29,600015
