Date,secucode
2023-07-03,617
2023-07-04,617
2023-07-05,617
2023-07-06,617
2023-07-07,617
2023-07-10,617
2023-07-11,617
2023-07-12,617
2023-07-13,617
2023-07-14,617
2023-07-17,617
2023-07-18,617
2023-07-19,617
2023-07-20,617
2023-07-21,617
2023-07-24,617
2023-07-25,617
2023-07-26,617
2023-07-27,617
2023-07-28,617
2023-07-31,617
2023-08-01,617
2023-08-02,617
2023-08-03,617
2023-08-04,617
2023-08-07,617
2023-08-08,617
2023-08-09,617
2023-08-10,617
2023-08-11,617
2023-08-14,617
2023-08-15,617
2023-08-16,617
2023-08-17,617
2023-08-18,617
2023-08-21,617
2023-08-22,617
2023-08-23,617
2023-08-24,617
2023-08-25,617
2023-08-28,617
2023-08-29,617
2023-08-30,617
2023-08-31,617
2023-09-01,617
2023-09-04,617
2023-09-05,617
2023-09-06,617
2023-09-07,617
2023-09-08,617
2023-09-11,617
2023-09-12,617
2023-09-13,617
2023-09-14,617
2023-09-15,617
2023-09-18,617
2023-09-19,617
2023-09-20,617
2023-09-21,617
2023-09-22,617
2023-09-25,617
2023-09-26,617
2023-09-27,617
2023-09-28,617
2023-10-09,617
2023-10-10,617
2023-10-11,617
2023-10-12,617
2023-10-13,617
2023-10-16,617
2023-10-17,617
2023-10-18,617
2023-10-19,617
2023-10-20,617
2023-10-23,617
2023-10-24,617
2023-10-25,617
2023-10-26,617
2023-10-27,617
2023-10-30,617
2023-10-31,617
2023-11-01,617
2023-11-02,617
2023-11-03,617
2023-11-06,617
2023-11-07,617
2023-11-08,617
2023-11-09,617
2023-11-10,617
2023-11-13,617
2023-11-14,617
2023-11-15,617
2023-11-16,617
2023-11-17,617
2023-11-20,617
2023-11-21,617
2023-11-22,617
2023-11-23,617
2023-11-24,617
2023-11-27,617
2023-11-28,617
2023-11-29,617
2023-11-30,617
2023-12-01,617
2023-12-04,617
2023-12-05,617
2023-12-06,617
2023-12-07,617
2023-12-08,617
2023-12-11,617
2023-12-12,617
2023-12-13,617
2023-12-14,617
2023-12-15,617
2023-12-18,617
2023-12-19,617
2023-12-20,617
2023-12-21,617
2023-12-22,617
2023-12-25,617
2023-12-26,617
2023-12-27,617
2023-12-28,617
2023-12-29,617
