Date,secucode,Newsnum_Title_news1,Newsnum_Cont_news1,Posnews_All_news1,Neunews_All_news1,Negnews_All_news1,Posnews_Ori_news1,Neunews_Ori_news1,Negnews_Ori_news1,Newsnum_Title_news2,Newsnum_Cont_news2,Posnews_All_news2,Neunews_All_news2,Negnews_All_news2,Posnews_Ori_news2,Neunews_Ori_news2,Negnews_Ori_news2
2023-07-03,338,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,10.0,10.0,0.0,1.0,5.0,0.0,0.0
2023-07-04,338,,,,,,,,,6.0,7.0,4.0,0.0,3.0,2.0,0.0,1.0
2023-07-05,338,,,,,,,,,5.0,5.0,3.0,0.0,2.0,1.0,0.0,1.0
2023-07-06,338,,,,,,,,,1.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0
2023-07-07,338,,,,,,,,,,,,,,,,
2023-07-10,338,,,,,,,,,3.0,4.0,3.0,1.0,0.0,3.0,1.0,0.0
2023-07-11,338,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,
2023-07-12,338,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,
2023-07-13,338,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2023-07-14,338,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0,7.0,0.0,1.0,2.0,0.0,0.0
2023-07-17,338,,,,,,,,,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2023-07-18,338,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,2.0,1.0,0.0
2023-07-19,338,,,,,,,,,,,,,,,,
2023-07-20,338,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0
2023-07-21,338,,,,,,,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2023-07-24,338,,,,,,,,,,,,,,,,
2023-07-25,338,,,,,,,,,,,,,,,,
2023-07-26,338,,,,,,,,,,,,,,,,
2023-07-27,338,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2023-07-28,338,,,,,,,,,,,,,,,,
2023-07-31,338,,,,,,,,,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0
2023-08-01,338,,,,,,,,,,,,,,,,
2023-08-02,338,,,,,,,,,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0
2023-08-03,338,,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2023-08-04,338,,,,,,,,,,,,,,,,
2023-08-07,338,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,
2023-08-08,338,,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2023-08-09,338,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,
2023-08-10,338,,,,,,,,,,,,,,,,
2023-08-11,338,,,,,,,,,,,,,,,,
2023-08-14,338,,,,,,,,,,,,,,,,
2023-08-15,338,,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2023-08-16,338,,,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2023-08-17,338,,,,,,,,,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0
2023-08-18,338,,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2023-08-21,338,,,,,,,,,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
