Date,secucode
2023-07-03,776
2023-07-04,776
2023-07-05,776
2023-07-06,776
2023-07-07,776
2023-07-10,776
2023-07-11,776
2023-07-12,776
2023-07-13,776
2023-07-14,776
2023-07-17,776
2023-07-18,776
2023-07-19,776
2023-07-20,776
2023-07-21,776
2023-07-24,776
2023-07-25,776
2023-07-26,776
2023-07-27,776
2023-07-28,776
2023-07-31,776
2023-08-01,776
2023-08-02,776
2023-08-03,776
2023-08-04,776
2023-08-07,776
2023-08-08,776
2023-08-09,776
2023-08-10,776
2023-08-11,776
2023-08-14,776
2023-08-15,776
2023-08-16,776
2023-08-17,776
2023-08-18,776
2023-08-21,776
2023-08-22,776
2023-08-23,776
2023-08-24,776
2023-08-25,776
2023-08-28,776
2023-08-29,776
2023-08-30,776
2023-08-31,776
2023-09-01,776
2023-09-04,776
2023-09-05,776
2023-09-06,776
2023-09-07,776
2023-09-08,776
2023-09-11,776
2023-09-12,776
2023-09-13,776
2023-09-14,776
2023-09-15,776
2023-09-18,776
2023-09-19,776
2023-09-20,776
2023-09-21,776
2023-09-22,776
2023-09-25,776
2023-09-26,776
2023-09-27,776
2023-09-28,776
2023-10-09,776
2023-10-10,776
2023-10-11,776
2023-10-12,776
2023-10-13,776
2023-10-16,776
2023-10-17,776
2023-10-18,776
2023-10-19,776
2023-10-20,776
2023-10-23,776
2023-10-24,776
2023-10-25,776
2023-10-26,776
2023-10-27,776
2023-10-30,776
2023-10-31,776
2023-11-01,776
2023-11-02,776
2023-11-03,776
2023-11-06,776
2023-11-07,776
2023-11-08,776
2023-11-09,776
2023-11-10,776
2023-11-13,776
2023-11-14,776
2023-11-15,776
2023-11-16,776
2023-11-17,776
2023-11-20,776
2023-11-21,776
2023-11-22,776
2023-11-23,776
2023-11-24,776
2023-11-27,776
2023-11-28,776
2023-11-29,776
2023-11-30,776
2023-12-01,776
2023-12-04,776
2023-12-05,776
2023-12-06,776
2023-12-07,776
2023-12-08,776
2023-12-11,776
2023-12-12,776
2023-12-13,776
2023-12-14,776
2023-12-15,776
2023-12-18,776
2023-12-19,776
2023-12-20,776
2023-12-21,776
2023-12-22,776
2023-12-25,776
2023-12-26,776
2023-12-27,776
2023-12-28,776
2023-12-29,776
