Date,secucode,Newsnum_Title_news1,Newsnum_Cont_news1,Posnews_All_news1,Neunews_All_news1,Negnews_All_news1,Posnews_Ori_news1,Neunews_Ori_news1,Negnews_Ori_news1,Newsnum_Title_news2,Newsnum_Cont_news2,Posnews_All_news2,Neunews_All_news2,Negnews_All_news2,Posnews_Ori_news2,Neunews_Ori_news2,Negnews_Ori_news2
2023-07-03,600028,0,7,5,2,0,4,1,0,1,13,3,9,1,2,5,1
2023-07-04,600028,2,7,4,3,0,3,3,0,2,16,8,7,1,5,3,0
2023-07-05,600028,1,10,7,3,0,6,2,0,6,16,4,9,3,1,4,3
2023-07-06,600028,1,7,6,0,1,6,0,1,1,20,12,7,1,4,2,1
2023-07-07,600028,1,9,6,3,0,5,3,0,5,21,11,10,0,6,5,0
2023-07-10,600028,0,4,3,1,0,2,1,0,2,18,8,9,1,4,5,0
2023-07-11,600028,0,5,3,1,1,3,1,0,1,14,6,6,2,0,3,0
2023-07-12,600028,1,19,11,8,0,10,5,0,4,23,8,12,3,4,4,2
2023-07-13,600028,0,9,5,2,2,5,1,2,2,11,6,3,2,5,1,2
2023-07-14,600028,0,5,3,1,1,2,0,1,2,8,4,4,0,4,0,0
2023-07-17,600028,0,7,2,4,1,1,2,1,0,12,5,7,0,5,2,0
2023-07-18,600028,1,5,4,1,0,4,1,0,1,10,2,8,0,1,4,0
2023-07-19,600028,0,5,4,0,1,4,0,1,1,11,3,7,1,1,1,1
2023-07-20,600028,0,3,1,2,0,1,1,0,6,16,3,13,0,2,2,0
2023-07-21,600028,1,5,3,1,1,3,0,1,7,20,12,6,2,7,1,1
2023-07-24,600028,2,13,11,1,1,8,1,0,6,13,8,5,0,5,1,0
2023-07-25,600028,0,7,4,2,1,3,2,1,5,12,6,6,0,5,2,0
2023-07-26,600028,0,11,9,2,0,8,0,0,3,14,5,6,3,1,1,2
2023-07-27,600028,1,6,5,1,0,2,1,0,3,16,7,5,4,2,1,2
2023-07-28,600028,0,5,4,1,0,2,1,0,5,16,8,6,2,4,1,1
2023-07-31,600028,0,2,2,0,0,2,0,0,3,11,4,7,0,4,3,0
2023-08-01,600028,1,3,0,3,0,0,3,0,2,10,4,5,1,4,1,1
2023-08-02,600028,0,2,2,0,0,2,0,0,5,18,12,5,1,8,2,1
2023-08-03,600028,1,9,4,5,0,3,4,0,7,19,10,7,2,3,1,1
2023-08-04,600028,2,6,4,2,1,3,2,1,2,10,6,4,0,1,0,0
2023-08-07,600028,2,22,13,9,0,11,7,0,2,13,4,7,2,2,2,1
2023-08-08,600028,0,2,1,1,0,1,1,0,2,7,5,3,0,2,0,0
2023-08-09,600028,1,2,1,1,0,1,1,0,1,12,5,5,2,2,1,1
2023-08-10,600028,1,9,2,6,1,0,4,1,2,17,5,10,2,1,6,1
2023-08-11,600028,0,2,0,1,1,0,1,1,0,7,2,5,0,2,2,0
2023-08-14,600028,1,11,5,6,0,4,6,0,2,14,8,3,3,4,1,3
2023-08-15,600028,1,8,5,3,0,3,3,0,4,13,6,7,0,4,1,0
2023-08-16,600028,0,7,3,3,1,2,3,1,4,20,12,7,1,5,2,0
2023-08-17,600028,0,8,5,3,0,5,3,0,5,13,9,4,0,5,0,0
2023-08-18,600028,0,9,6,2,1,3,2,1,4,9,6,3,0,3,0,0
2023-08-21,600028,0,5,4,1,0,2,1,0,1,12,5,7,0,4,2,0
2023-08-22,600028,2,7,5,1,1,5,1,1,4,15,10,6,0,5,2,0
2023-08-23,600028,1,7,4,3,0,4,2,0,1,20,7,12,1,4,5,1
2023-08-24,600028,0,8,5,3,0,3,3,0,1,14,8,6,0,3,1,0
2023-08-25,600028,1,2,1,0,1,1,0,1,2,9,2,7,0,1,3,0
2023-08-28,600028,2,10,4,3,3,3,2,3,15,27,15,6,6,6,1,3
2023-08-29,600028,4,11,6,4,1,6,4,1,5,18,9,7,2,6,3,2
2023-08-30,600028,2,13,8,4,1,7,3,1,5,21,17,4,0,4,2,0
2023-08-31,600028,1,10,5,4,1,5,1,1,5,25,16,7,2,5,2,1
2023-09-01,600028,1,14,9,5,0,4,4,0,2,14,7,6,1,2,3,1
2023-09-04,600028,0,3,2,1,0,1,1,0,5,23,10,11,2,4,2,1
2023-09-05,600028,1,8,5,3,0,2,2,0,2,13,4,5,4,2,1,3
2023-09-06,600028,1,4,4,0,0,3,0,0,11,23,13,10,1,7,3,0
2023-09-07,600028,0,9,7,1,1,5,1,1,7,27,17,9,2,10,2,2
2023-09-08,600028,0,9,8,0,1,4,0,1,7,19,11,7,1,7,1,0
2023-09-11,600028,0,3,3,0,0,3,0,0,1,7,3,4,0,3,0,0
2023-09-12,600028,1,8,5,3,0,3,2,0,1,8,2,6,0,2,0,0
2023-09-13,600028,1,9,6,2,1,3,2,1,5,24,17,7,0,8,3,0
2023-09-14,600028,1,6,5,1,0,5,1,0,9,25,10,14,1,4,3,1
2023-09-15,600028,2,6,4,2,0,3,2,0,4,23,16,6,1,2,2,1
2023-09-18,600028,2,22,9,12,1,5,2,1,2,23,15,7,1,4,1,1
2023-09-19,600028,2,13,7,6,0,4,1,0,4,20,11,9,1,3,4,0
2023-09-20,600028,0,8,5,2,1,2,1,1,8,21,9,10,2,5,1,1
2023-09-21,600028,0,67,43,22,2,41,22,2,9,27,19,5,3,6,1,1
2023-09-22,600028,1,11,7,4,0,2,0,0,13,24,16,7,1,7,1,1
2023-09-25,600028,2,53,48,4,1,47,4,1,4,30,23,6,1,3,1,1
2023-09-26,600028,2,11,6,5,0,1,5,0,9,31,21,8,2,8,6,2
2023-09-27,600028,0,9,4,4,1,3,4,1,5,17,8,8,1,3,1,0
2023-09-28,600028,0,4,1,3,0,1,3,0,5,20,10,7,3,6,2,2
2023-10-09,600028,1,2,1,1,0,1,1,0,4,22,8,8,6,1,3,1
2023-10-10,600028,0,2,1,0,1,0,0,1,4,16,5,8,3,0,2,0
2023-10-11,600028,0,8,5,3,0,4,3,0,12,69,21,46,3,7,4,1
2023-10-12,600028,1,4,2,2,0,1,2,0,1,53,28,22,3,4,2,2
2023-10-13,600028,0,7,4,3,0,4,3,0,2,79,54,21,4,2,0,1
2023-10-16,600028,1,33,28,1,4,0,1,0,2,28,18,10,0,4,3,0
2023-10-17,600028,1,104,39,64,1,6,3,0,12,28,10,17,1,3,4,1
2023-10-18,600028,0,25,10,14,1,3,2,1,1,15,4,11,0,1,2,0
2023-10-19,600028,0,20,8,12,0,6,10,0,2,9,4,4,1,3,0,0
2023-10-20,600028,0,8,2,5,1,2,1,0,2,11,1,8,2,0,2,2
2023-10-23,600028,3,13,12,1,0,8,1,0,3,26,9,17,0,2,3,0
2023-10-24,600028,0,11,8,2,1,7,1,0,0,9,4,5,0,1,0,0
2023-10-25,600028,0,13,10,3,0,8,1,0,3,11,5,6,0,4,2,0
2023-10-26,600028,3,16,9,5,2,8,5,2,10,21,9,8,4,4,2,1
2023-10-27,600028,3,9,7,2,0,6,1,0,13,23,12,9,2,4,2,1
2023-10-30,600028,0,15,12,3,0,8,2,0,3,12,4,7,1,1,3,1
2023-10-31,600028,2,8,5,2,1,5,2,1,2,23,15,7,1,4,1,1
