Date,secucode,Newsnum_Title_news1,Newsnum_Cont_news1,Posnews_All_news1,Neunews_All_news1,Negnews_All_news1,Posnews_Ori_news1,Neunews_Ori_news1,Negnews_Ori_news1,Newsnum_Title_news2,Newsnum_Cont_news2,Posnews_All_news2,Neunews_All_news2,Negnews_All_news2,Posnews_Ori_news2,Neunews_Ori_news2,Negnews_Ori_news2
2023-07-03,600104,2.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,3,13,4,4,5,4,0,2
2023-07-04,600104,,,,,,,,,9,14,7,5,2,2,4,0
2023-07-05,600104,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3,13,6,4,3,3,2,1
2023-07-06,600104,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,4,19,9,6,4,1,2,0
2023-07-07,600104,0.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,7,28,14,6,8,4,2,4
2023-07-10,600104,0.0,7.0,5.0,2.0,0.0,1.0,0.0,0.0,5,17,8,3,6,3,1,0
2023-07-11,600104,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0,6,4,1,1,2,0,1
2023-07-12,600104,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,2,11,4,5,2,0,3,0
2023-07-13,600104,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,13,6,3,4,0,1,0
2023-07-14,600104,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0,12,5,3,4,0,0,2
2023-07-17,600104,0.0,5.0,4.0,1.0,0.0,2.0,1.0,0.0,0,11,5,3,3,1,2,0
2023-07-18,600104,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0,10,8,1,1,3,0,0
2023-07-19,600104,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0,6,1,3,2,0,0,0
2023-07-20,600104,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2,14,4,8,2,0,0,0
2023-07-21,600104,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2,10,4,3,3,0,2,2
2023-07-24,600104,13.0,19.0,16.0,2.0,1.0,1.0,2.0,1.0,3,11,8,2,1,2,0,0
2023-07-25,600104,2.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0,6,1,3,2,1,0,0
2023-07-26,600104,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,25,21,0,4,1,0,0
2023-07-27,600104,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2,35,25,5,5,3,1,1
2023-07-28,600104,0.0,9.0,6.0,2.0,1.0,0.0,1.0,0.0,0,21,14,2,5,1,0,1
2023-07-31,600104,0.0,7.0,5.0,1.0,1.0,2.0,0.0,0.0,1,13,9,0,4,1,0,1
2023-08-01,600104,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3,7,5,1,1,2,0,0
2023-08-02,600104,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3,11,8,1,2,2,0,0
2023-08-03,600104,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,10,5,3,2,0,1,1
2023-08-04,600104,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0,14,9,2,3,0,0,0
2023-08-07,600104,0.0,7.0,4.0,1.0,2.0,1.0,0.0,0.0,0,14,7,4,3,3,0,1
2023-08-08,600104,,,,,,,,,9,19,8,6,5,1,0,1
2023-08-09,600104,1.0,5.0,3.0,0.0,2.0,1.0,0.0,1.0,3,15,8,4,3,4,1,0
2023-08-10,600104,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,9,4,1,4,0,0,2
2023-08-11,600104,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1,14,9,0,5,2,0,0
2023-08-14,600104,0.0,10.0,7.0,1.0,2.0,1.0,0.0,0.0,0,15,8,1,6,1,0,0
2023-08-15,600104,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0,12,7,3,2,0,1,1
2023-08-16,600104,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,10,6,2,2,0,0,1
2023-08-17,600104,0.0,4.0,3.0,0.0,1.0,2.0,0.0,1.0,0,8,7,0,1,2,0,0
2023-08-18,600104,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0,8,4,2,2,1,0,0
2023-08-21,600104,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,4,0,4,0,0,1,0
2023-08-22,600104,,,,,,,,,0,4,1,3,0,1,0,0
2023-08-23,600104,,,,,,,,,1,4,2,2,0,0,0,0
