Date,secucode
2023-07-03,166
2023-07-04,166
2023-07-05,166
2023-07-06,166
2023-07-07,166
2023-07-10,166
2023-07-11,166
2023-07-12,166
2023-07-13,166
2023-07-14,166
2023-07-17,166
2023-07-18,166
2023-07-19,166
2023-07-20,166
2023-07-21,166
2023-07-24,166
2023-07-25,166
2023-07-26,166
2023-07-27,166
2023-07-28,166
2023-07-31,166
2023-08-01,166
2023-08-02,166
2023-08-03,166
2023-08-04,166
2023-08-07,166
2023-08-08,166
2023-08-09,166
2023-08-10,166
2023-08-11,166
2023-08-14,166
2023-08-15,166
2023-08-16,166
2023-08-17,166
2023-08-18,166
2023-08-21,166
2023-08-22,166
2023-08-23,166
2023-08-24,166
2023-08-25,166
2023-08-28,166
2023-08-29,166
2023-08-30,166
2023-08-31,166
2023-09-01,166
2023-09-04,166
2023-09-05,166
2023-09-06,166
2023-09-07,166
2023-09-08,166
2023-09-11,166
2023-09-12,166
2023-09-13,166
2023-09-14,166
2023-09-15,166
2023-09-18,166
2023-09-19,166
2023-09-20,166
2023-09-21,166
2023-09-22,166
2023-09-25,166
2023-09-26,166
2023-09-27,166
2023-09-28,166
2023-10-09,166
2023-10-10,166
2023-10-11,166
2023-10-12,166
2023-10-13,166
2023-10-16,166
2023-10-17,166
2023-10-18,166
2023-10-19,166
2023-10-20,166
2023-10-23,166
2023-10-24,166
2023-10-25,166
2023-10-26,166
2023-10-27,166
2023-10-30,166
2023-10-31,166
2023-11-01,166
2023-11-02,166
2023-11-03,166
2023-11-06,166
2023-11-07,166
2023-11-08,166
2023-11-09,166
2023-11-10,166
2023-11-13,166
2023-11-14,166
2023-11-15,166
2023-11-16,166
2023-11-17,166
2023-11-20,166
2023-11-21,166
2023-11-22,166
2023-11-23,166
2023-11-24,166
2023-11-27,166
2023-11-28,166
2023-11-29,166
2023-11-30,166
2023-12-01,166
2023-12-04,166
2023-12-05,166
2023-12-06,166
2023-12-07,166
2023-12-08,166
2023-12-11,166
2023-12-12,166
2023-12-13,166
2023-12-14,166
2023-12-15,166
2023-12-18,166
2023-12-19,166
2023-12-20,166
2023-12-21,166
2023-12-22,166
2023-12-25,166
2023-12-26,166
2023-12-27,166
2023-12-28,166
2023-12-29,166
