Date,secucode,Newsnum_Title_news1,Newsnum_Cont_news1,Posnews_All_news1,Neunews_All_news1,Negnews_All_news1,Posnews_Ori_news1,Neunews_Ori_news1,Negnews_Ori_news1,Newsnum_Title_news2,Newsnum_Cont_news2,Posnews_All_news2,Neunews_All_news2,Negnews_All_news2,Posnews_Ori_news2,Neunews_Ori_news2,Negnews_Ori_news2
2023-07-03,625,1.0,5.0,2.0,3.0,0.0,2.0,3.0,0.0,3,15,10,3,3,6,2,1
2023-07-04,625,0.0,7.0,5.0,2.0,0.0,5.0,2.0,0.0,2,16,14,2,0,5,2,0
2023-07-05,625,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,6,16,9,6,1,5,3,0
2023-07-06,625,0.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,8,22,15,1,6,5,1,1
2023-07-07,625,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,9,28,21,1,7,8,0,2
2023-07-10,625,0.0,7.0,4.0,3.0,0.0,2.0,1.0,0.0,4,15,6,3,6,3,1,0
2023-07-11,625,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,6,30,20,3,7,3,3,2
2023-07-12,625,0.0,7.0,3.0,4.0,0.0,1.0,2.0,0.0,8,21,17,1,3,5,0,1
2023-07-13,625,1.0,6.0,6.0,0.0,0.0,4.0,0.0,0.0,2,11,4,3,4,1,2,1
2023-07-14,625,0.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,3,17,13,1,3,3,0,0
2023-07-17,625,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0,2,1,0,1,0,0,0
2023-07-18,625,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,5,4,0,1,1,0,0
2023-07-19,625,1.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,4,12,2,8,2,1,1,0
2023-07-20,625,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2,9,7,0,2,4,0,0
2023-07-21,625,0.0,7.0,4.0,2.0,1.0,3.0,2.0,1.0,5,14,7,3,4,4,0,2
2023-07-24,625,1.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,1,18,11,4,3,3,0,1
2023-07-25,625,0.0,12.0,7.0,4.0,1.0,6.0,4.0,1.0,6,12,7,2,3,5,2,1
2023-07-26,625,0.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0,1,10,5,2,3,4,0,0
2023-07-27,625,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2,9,2,2,5,2,0,2
2023-07-28,625,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1,17,8,4,5,1,0,1
