Date,secucode,open,high,low,close,volume,amount,change,change_ratio,Newsnum_Title_news1,Newsnum_Cont_news1,Posnews_All_news1,Neunews_All_news1,Negnews_All_news1,Posnews_Ori_news1,Neunews_Ori_news1,Negnews_Ori_news1,Newsnum_Title_news2,Newsnum_Cont_news2,Posnews_All_news2,Neunews_All_news2,Negnews_All_news2,Posnews_Ori_news2,Neunews_Ori_news2,Negnews_Ori_news2
2020-01-02,300408,22.74,23.51,22.38,23.2,123138,282783680.0,0.92,4.129263913824058,,,,,,,,,1,1,0,0,1,0,0,1
2020-01-03,300408,23.61,24.8,23.47,23.77,257501,622023296.0,0.57,2.456896551724138,,,,,,,,,0,2,1,1,0,0,1,0
2020-01-06,300408,23.19,23.74,23.19,23.45,155150,364309088.0,-0.32,-1.3462347496844762,,,,,,,,,,,,,,,,
2020-01-07,300408,23.8,24.15,23.3,23.44,142659,338063008.0,-0.01,-0.0426439232409381,,,,,,,,,,,,,,,,
2020-01-08,300408,23.0,23.46,22.64,22.8,140857,324123456.0,-0.64,-2.7303754266211606,,,,,,,,,,,,,,,,
2020-01-09,300408,23.0,23.15,22.31,22.88,173017,391658944.0,0.08,0.3508771929824561,,,,,,,,,,,,,,,,
2020-01-10,300408,22.69,23.09,22.6,22.77,92973,212255392.0,-0.11,-0.4807692307692308,,,,,,,,,,,,,,,,
2020-01-13,300408,22.5,22.98,22.17,22.83,134212,303263360.0,0.06,0.2635046113306983,,,,,,,,,,,,,,,,
2020-01-14,300408,22.95,23.16,22.65,22.98,117489,269695840.0,0.15,0.657030223390276,0,1,1,0,0,1,0,0,,,,,,,,
2020-01-15,300408,23.11,23.28,22.69,22.94,104834,240660224.0,-0.04,-0.1740644038294168,,,,,,,,,0,5,1,0,4,1,0,2
2020-01-16,300408,22.81,23.15,22.6,22.78,90793,207369312.0,-0.16,-0.6974716652136007,1,2,1,1,0,1,1,0,0,2,0,1,1,0,0,0
2020-01-17,300408,22.92,23.38,22.63,23.16,126516,292616576.0,0.38,1.6681299385425814,0,1,0,0,1,0,0,1,,,,,,,,
2020-01-20,300408,23.28,23.93,23.03,23.84,141508,334484128.0,0.68,2.936096718480138,,,,,,,,,,,,,,,,
2020-01-21,300408,23.61,23.98,23.33,23.73,111592,264432576.0,-0.11,-0.4614093959731544,,,,,,,,,,,,,,,,
2020-01-22,300408,23.65,24.39,23.21,24.23,151902,361567456.0,0.5,2.107037505267594,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1
2020-01-23,300408,23.65,24.17,22.82,23.21,159541,377196896.0,-1.02,-4.209657449442839,1,1,0,1,0,0,1,0,1,3,1,0,2,1,0,2
2020-02-03,300408,20.89,21.4,20.89,20.89,145344,305717088.0,-2.32,-9.995691512279189,0,1,0,1,0,0,1,0,,,,,,,,
2020-02-04,300408,21.05,21.57,20.69,21.4,138497,294349536.0,0.51,2.4413595021541408,,,,,,,,,,,,,,,,
2020-02-05,300408,21.4,21.89,20.93,21.31,236933,507491648.0,-0.09,-0.4205607476635514,,,,,,,,,,,,,,,,
2020-02-06,300408,21.35,21.8,21.09,21.8,157758,338255296.0,0.49,2.299389957766307,,,,,,,,,,,,,,,,
2020-02-07,300408,21.67,21.74,21.06,21.67,214010,457595584.0,-0.13,-0.5963302752293578,,,,,,,,,,,,,,,,
2020-02-10,300408,21.6,22.33,21.45,22.07,195324,428020512.0,0.4,1.8458698661744344,,,,,,,,,0,1,1,0,0,0,0,0
2020-02-11,300408,22.58,23.55,22.4,22.57,238131,545312448.0,0.5,2.265518803806072,,,,,,,,,0,2,2,0,0,0,0,0
2020-02-12,300408,22.89,23.57,22.51,23.35,223277,515970656.0,0.78,3.4559149313247675,,,,,,,,,0,1,1,0,0,1,0,0
2020-02-13,300408,23.2,24.27,23.2,23.81,200103,474291520.0,0.46,1.970021413276232,,,,,,,,,,,,,,,,
2020-02-14,300408,24.08,24.58,23.56,23.9,208463,501408032.0,0.09,0.3779924401511969,,,,,,,,,,,,,,,,
2020-02-17,300408,24.11,25.03,24.11,24.86,201248,495068832.0,0.96,4.01673640167364,0,1,1,0,0,0,0,0,,,,,,,,
2020-02-18,300408,24.82,25.87,24.58,25.37,225951,570656192.0,0.51,2.0514883346741755,,,,,,,,,,,,,,,,
2020-02-19,300408,25.35,26.39,25.01,25.74,223271,575102464.0,0.37,1.4584154513204572,0,1,0,1,0,0,0,0,,,,,,,,
2020-02-20,300408,25.74,26.46,24.85,25.95,228745,586839808.0,0.21,0.8158508158508158,,,,,,,,,,,,,,,,
2020-02-21,300408,26.0,26.51,25.55,26.01,191774,498666848.0,0.06,0.2312138728323699,,,,,,,,,,,,,,,,
2020-02-24,300408,26.1,28.08,25.92,27.8,319116,864501696.0,1.79,6.881968473663975,,,,,,,,,0,1,1,0,0,0,0,0
2020-02-25,300408,27.02,27.85,25.58,27.1,347414,932959552.0,-0.7,-2.517985611510792,,,,,,,,,,,,,,,,
2020-02-26,300408,26.49,26.69,24.7,24.89,254205,654593728.0,-2.21,-8.1549815498155,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1
2020-02-27,300408,25.24,25.85,24.44,24.87,214913,538036416.0,-0.02,-0.0803535556448372,,,,,,,,,1,1,0,0,1,0,0,1
2020-02-28,300408,23.76,24.26,23.11,23.8,225952,535308608.0,-1.07,-4.302372336147969,,,,,,,,,,,,,,,,
2020-03-02,300408,24.33,24.68,23.3,24.17,201645,486462112.0,0.37,1.5546218487394958,0,1,1,0,0,1,0,0,,,,,,,,
2020-03-03,300408,24.65,25.44,23.85,24.23,230118,568832704.0,0.06,0.2482416218452627,,,,,,,,,0,1,1,0,0,1,0,0
2020-03-04,300408,24.09,24.24,23.13,23.65,211206,497637536.0,-0.58,-2.3937267849773005,0,1,1,0,0,1,0,0,7,7,4,2,1,1,0,0
2020-03-05,300408,24.25,24.62,23.6,24.22,219517,529724288.0,0.57,2.4101479915433406,,,,,,,,,,,,,,,,
