Date,secucode,open,high,low,close,volume,amount,change,change_ratio,Newsnum_Title_news1,Newsnum_Cont_news1,Posnews_All_news1,Neunews_All_news1,Negnews_All_news1,Posnews_Ori_news1,Neunews_Ori_news1,Negnews_Ori_news1,Newsnum_Title_news2,Newsnum_Cont_news2,Posnews_All_news2,Neunews_All_news2,Negnews_All_news2,Posnews_Ori_news2,Neunews_Ori_news2,Negnews_Ori_news2
2020-01-02,600383,14.65,15.15,14.49,14.54,470729,694715456,0.04,0.2758620689655172,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,1
2020-01-03,600383,14.55,14.65,14.28,14.56,263322,380500928,0.02,0.1375515818431912,,,,,,,,,0,1,0,0,1,0,0,0
2020-01-06,600383,14.3,14.35,13.94,14.3,439607,623268864,-0.26,-1.7857142857142856,,,,,,,,,7,8,6,1,1,0,1,0
2020-01-07,600383,14.3,14.54,14.18,14.44,214050,307518528,0.14,0.9790209790209792,,,,,,,,,2,5,2,3,0,0,0,0
2020-01-08,600383,14.35,14.61,14.15,14.56,286947,413806176,0.12,0.8310249307479225,,,,,,,,,0,5,1,3,1,1,1,0
2020-01-09,600383,14.69,15.09,14.6,14.7,377452,561827776,0.14,0.9615384615384616,0,1,0,1,0,0,0,0,0,4,1,0,3,1,0,1
2020-01-10,600383,14.6,14.7,14.18,14.26,329230,470877216,-0.44,-2.9931972789115644,2,3,2,1,0,2,1,0,0,7,2,0,5,1,0,0
2020-01-13,600383,14.2,14.36,14.08,14.35,239989,341400704,0.09,0.6311360448807855,0,1,1,0,0,1,0,0,3,4,0,1,3,0,0,1
2020-01-14,600383,14.35,14.52,14.2,14.36,176511,253400336,0.01,0.0696864111498257,,,,,,,,,,,,,,,,
2020-01-15,600383,14.35,14.35,13.99,14.1,226794,320255776,-0.26,-1.8105849582172704,0,2,2,0,0,1,0,0,,,,,,,,
2020-01-16,600383,14.13,14.3,14.02,14.09,185606,262231808,-0.01,-0.0709219858156028,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0
2020-01-17,600383,14.18,14.26,13.98,14.04,200021,281909088,-0.05,-0.3548616039744499,0,1,1,0,0,1,0,0,0,4,2,0,2,1,0,0
2020-01-20,600383,14.01,14.08,13.49,13.85,344073,472102112,-0.19,-1.3532763532763532,,,,,,,,,1,2,0,1,1,0,0,1
2020-01-21,600383,13.8,13.89,13.41,13.44,282407,382843712,-0.41,-2.96028880866426,,,,,,,,,0,1,0,0,1,0,0,1
2020-01-22,600383,13.49,13.76,13.18,13.68,206206,280109952,0.24,1.7857142857142856,,,,,,,,,0,1,1,0,0,0,0,0
2020-01-23,600383,13.46,13.46,13.0,13.17,276616,367020928,-0.51,-3.728070175438596,,,,,,,,,,,,,,,,
2020-02-03,600383,11.93,12.2,11.85,11.92,425197,506861600,-1.25,-9.491268033409265,,,,,,,,,0,9,0,0,9,0,0,2
2020-02-04,600383,11.93,12.38,11.83,12.25,381384,460780320,0.33,2.7684563758389262,,,,,,,,,0,3,1,0,2,0,0,0
2020-02-05,600383,12.23,12.5,12.12,12.25,299568,367754784,0.0,0.0,0,1,0,1,0,0,1,0,0,7,5,0,2,0,0,1
2020-02-06,600383,12.33,12.39,12.12,12.36,339622,415787904,0.11,0.8979591836734694,,,,,,,,,0,5,0,3,2,0,0,0
2020-02-07,600383,12.25,12.4,12.02,12.35,337653,410436832,-0.01,-0.0809061488673139,0,1,1,0,0,1,0,0,0,16,2,6,8,0,2,3
2020-02-10,600383,12.19,12.84,12.12,12.7,397137,500072320,0.35,2.834008097165992,,,,,,,,,0,2,0,2,0,0,0,0
2020-02-11,600383,12.64,12.93,12.58,12.72,260235,332803584,0.02,0.1574803149606299,,,,,,,,,1,8,2,5,2,0,2,0
2020-02-12,600383,12.71,12.77,12.53,12.68,247746,312500768,-0.04,-0.3144654088050315,,,,,,,,,,,,,,,,
2020-02-13,600383,12.82,13.25,12.78,12.91,545614,711254336,0.23,1.8138801261829656,,,,,,,,,9,16,11,1,5,3,0,0
2020-02-14,600383,13.1,14.06,13.08,13.98,584883,795064704,1.07,8.288148721920992,,,,,,,,,5,26,13,4,9,3,1,3
2020-02-17,600383,14.05,14.25,13.68,14.06,505490,709479104,0.08,0.5722460658082975,,,,,,,,,3,12,5,4,3,0,2,1
2020-02-18,600383,14.05,14.05,13.55,13.79,296703,407752768,-0.27,-1.9203413940256049,,,,,,,,,1,9,1,3,5,1,1,1
2020-02-19,600383,13.72,14.09,13.62,13.88,241931,336107936,0.09,0.6526468455402465,0,1,0,0,1,0,0,0,0,6,0,5,1,0,0,0
2020-02-20,600383,13.82,14.2,13.43,13.99,391175,537490112,0.11,0.792507204610951,0,1,0,1,0,0,1,0,6,6,1,2,3,0,1,0
