Date,secucode,open,high,low,close,volume,amount,change,change_ratio
2020-01-02,002180,33.14,33.55,32.3,33.04,152631,502488288.0,0.12,0.3645200486026731
2020-01-03,002180,33.04,33.74,32.71,33.25,119989,400170816.0,0.21,0.6355932203389831
2020-01-06,002180,32.9,33.42,32.38,32.71,139781,458458176.0,-0.54,-1.62406015037594
2020-01-07,002180,32.5,33.7,32.19,33.61,172082,567150400.0,0.9,2.751452155304188
2020-01-08,002180,33.4,33.43,32.51,32.6,114954,379319360.0,-1.01,-3.005058018446891
2020-01-09,002180,32.91,35.0,32.7,34.81,203868,689684992.0,2.21,6.779141104294478
2020-01-10,002180,34.8,35.38,34.35,35.01,124918,434646048.0,0.2,0.5745475438092502
2020-01-13,002180,34.69,36.15,34.51,36.1,135559,481237888.0,1.09,3.1133961725221364
2020-01-14,002180,37.0,37.0,35.74,35.94,119921,434884800.0,-0.16,-0.443213296398892
2020-01-15,002180,35.94,36.94,35.65,36.8,102376,370075200.0,0.86,2.392877017250974
2020-01-16,002180,36.6,37.18,35.4,35.9,124276,448819264.0,-0.9,-2.4456521739130435
2020-01-17,002180,36.14,36.77,36.0,36.2,97911,355465312.0,0.3,0.8356545961002786
2020-01-20,002180,35.94,39.82,35.58,39.7,156638,597702080.0,3.5,9.668508287292818
2020-01-21,002180,39.18,41.25,38.36,39.88,184050,729750784.0,0.18,0.4534005037783375
2020-01-22,002180,39.83,41.9,38.7,41.39,177867,717368896.0,1.51,3.786359077231695
2020-01-23,002180,40.6,41.4,37.97,39.0,176486,700263232.0,-2.39,-5.77434162841266
2020-02-03,002180,35.1,36.46,35.1,35.1,104456,370551456.0,-3.9,-10.0
2020-02-04,002180,35.65,37.01,35.2,36.06,182605,659487104.0,0.96,2.735042735042735
2020-02-05,002180,36.01,37.3,35.25,35.65,167062,608569024.0,-0.41,-1.136993899057127
2020-02-06,002180,35.84,36.2,34.76,35.92,187105,661926464.0,0.27,0.7573632538569425
2020-02-07,002180,35.7,36.88,34.8,36.78,194379,692496640.0,0.86,2.394209354120268
2020-02-10,002180,37.07,37.07,35.5,36.11,153153,551284672.0,-0.67,-1.821642196846112
2020-02-11,002180,36.3,37.57,35.5,37.13,149459,547514304.0,1.02,2.8247022985322627
2020-02-12,002180,36.92,40.25,36.71,39.65,251342,976119872.0,2.52,6.786964718556424
2020-02-13,002180,39.9,42.48,39.06,41.94,278724,1135549952.0,2.29,5.775535939470366
2020-02-14,002180,41.61,44.65,41.61,43.57,287402,1250786816.0,1.63,3.886504530281355
2020-02-17,002180,44.87,45.45,42.11,44.86,252641,1123378304.0,1.29,2.9607528115675925
2020-02-18,002180,44.5,46.45,43.97,44.2,208975,940725760.0,-0.66,-1.471243869817209
2020-02-19,002180,44.89,48.62,44.23,47.26,299412,1409201920.0,3.06,6.923076923076923
2020-02-20,002180,47.26,48.6,45.7,46.69,217479,1020081600.0,-0.57,-1.2060939483707152
2020-02-21,002180,47.45,48.48,46.69,46.9,177618,842545408.0,0.21,0.4497751124437781
2020-02-24,002180,46.99,48.48,46.36,47.22,199131,943826432.0,0.32,0.6823027718550106
