tradingday,secucode,preclose,open,high,low,close,vol,amount,deals
20250603,600150,30.67,30.66,30.96,30.61,30.79,22825716,703074005.0,35174
20250604,600150,30.79,30.79,31.0,30.67,30.93,20375442,629177156.0,33909
20250605,600150,30.93,30.85,30.91,30.6,30.75,24959400,765871794.0,36900
20250606,600150,30.75,30.8,30.9,30.62,30.76,19838275,609947396.0,30874
20250609,600150,30.76,30.77,31.05,30.77,30.92,26580307,821844100.0,37442
20250610,600150,30.92,30.97,30.97,30.18,30.27,35519604,1083159876.0,53224
20250611,600150,30.27,30.43,30.76,30.28,30.61,25771669,788695788.0,42352
20250612,600150,30.61,30.56,30.56,30.31,30.49,17577375,535104220.0,28535
20250613,600150,30.49,30.56,30.9,30.54,30.77,31174925,959072570.0,55931
20250616,600150,30.77,30.76,31.12,30.51,30.98,26766044,827140442.0,45181
20250617,600150,30.98,30.98,31.1,30.81,31.1,21967563,680241232.0,35968
20250618,600150,31.1,31.1,31.4,31.03,31.19,36670019,1145910293.0,50523
20250619,600150,31.19,31.18,31.18,30.42,30.77,36437669,1121028408.0,55238
20250620,600150,30.77,30.72,31.11,30.6,30.84,24502612,756862472.0,39195
20250623,600150,30.59,30.7,31.09,30.5,31.04,29238788,902638701.0,47111
20250624,600150,31.04,30.82,31.04,30.76,30.96,30879255,954577621.0,47776
20250625,600150,30.96,30.96,31.52,30.89,31.51,48552309,1522621803.0,68731
20250626,600150,31.51,31.41,32.38,31.36,31.69,70178450,2247123064.0,103546
20250627,600150,31.69,31.61,32.05,31.52,31.82,40469461,1287840928.0,62644
20250630,600150,31.82,32.1,32.66,32.1,32.54,60746724,1973434852.0,96104
20250701,600150,32.54,32.59,33.47,32.32,33.33,80364678,2657108461.0,124871
