tradingday,secucode,preclose,open,high,low,close,vol,amount,deals
20250603,603019,61.9,61.9,61.9,61.9,61.9,0,0.0,0
20250604,603019,61.9,61.9,61.9,61.9,61.9,0,0.0,0
20250605,603019,61.9,61.9,61.9,61.9,61.9,0,0.0,0
20250606,603019,61.9,61.9,61.9,61.9,61.9,0,0.0,0
20250609,603019,61.9,61.9,61.9,61.9,61.9,0,0.0,0
20250610,603019,61.9,68.09,68.09,68.09,68.09,6719621,457538994.0,7838
20250611,603019,68.09,73.0,73.11,69.01,69.56,129682998,9198907420.0,285456
20250612,603019,69.56,69.0,70.47,67.6,69.36,65052957,4485030733.0,171148
20250613,603019,69.36,68.62,69.2,68.03,68.49,39840729,2729794826.0,102435
20250616,603019,68.49,68.36,69.8,68.11,68.82,26788917,1850187136.0,69265
20250617,603019,68.82,68.51,68.79,67.6,67.91,23180111,1575334440.0,67384
20250618,603019,67.91,67.7,67.97,66.88,67.4,20369873,1374863156.0,56239
20250619,603019,67.4,67.3,68.6,67.1,67.55,24422826,1657216178.0,66870
20250620,603019,67.55,67.53,67.88,66.75,66.9,16398684,1102196013.0,45664
20250623,603019,66.9,66.31,66.98,66.15,66.64,15234692,1014481073.0,45954
20250624,603019,66.64,66.87,68.44,66.81,67.9,30742080,2085334335.0,78280
20250625,603019,67.9,67.9,68.79,67.62,68.39,28030746,1912660833.0,66935
20250626,603019,68.39,68.6,72.88,68.6,70.89,94406708,6730015779.0,219023
20250627,603019,70.89,71.47,71.48,69.88,69.93,38155484,2680865808.0,105223
20250630,603019,69.93,70.29,70.76,69.67,70.4,22482183,1580723454.0,63408
20250701,603019,70.4,70.12,70.35,69.01,69.32,23298316,1617169551.0,74163
